,exp,num_vars,total_wl (rps),num_apps,num_ics,num_ccs,wl_factor,conlloovia cost,FFC cost,FFP cost,conlloovia lower_bound,conlloovia gap_pct,conlloovia status,FFC status,FFP status,conlloovia creation_time,FFC creation_time,FFP creation_time,conlloovia solving_time,FFC solving_time,FFP solving_time,FFC cost diff conlloovia,FFP cost diff conlloovia
1,1,489585,311902.9702777778,32,16,8,40,12.959999999999997,12.959999999999999,12.9199999999999,12.828,1.0185185185185024,Feasible,Feasible,Feasible,244.39691904559731,0.011341792531311512,0.013290493749082088,610.3007100839168,0.9754361603409052,7.727202489972115,1.7763568394002505e-15,-0.04000000000009685
2,2,215623,186249.77888888886,32,16,8,20,6.960000000000001,7.04,7.0400000000000045,,0.0,Optimal,Feasible,Feasible,106.61982260085642,0.01098612416535616,0.012959565035998821,327.5969918416813,0.49495492316782475,1.3409321121871471,0.07999999999999918,0.08000000000000362
3,3,131584,7677.683055555556,32,16,8,1,0.56,0.64,0.5599999999999999,,0.0,Optimal,Feasible,Feasible,65.19434482604265,0.010989771224558353,0.011487293988466263,23.072074506431818,0.04647579416632652,0.051407286897301674,0.07999999999999996,-1.1102230246251565e-16
4,4,400932,382222.655,32,16,4,40,15.360000000000001,15.359999999999998,15.27999999999985,15.213,0.9570312500000131,Feasible,Feasible,Feasible,198.40023549087346,0.007826087065041065,0.00858601275831461,609.210913784802,1.1637333203107119,9.905344634316862,-3.552713678800501e-15,-0.08000000000015106
5,5,139191,165790.5419444444,32,16,4,20,6.6000000000000005,6.720000000000001,6.600000000000005,6.531,1.045454545454558,Feasible,Feasible,Feasible,71.13323017582297,0.007761070504784584,0.008424331434071064,605.8223610641435,0.32143079675734043,1.6166948517784476,0.1200000000000001,4.440892098500626e-15
6,6,66048,10007.521944444445,32,16,4,1,0.72,1.28,0.7200000000000001,,0.0,Optimal,Feasible,Feasible,32.63509024307132,0.007714851759374142,0.008305794559419155,11.253557135351002,0.042258137837052345,0.049336155876517296,0.56,1.1102230246251565e-16
7,7,58014,257559.0013888889,32,16,1,40,11.839999999999998,11.84,11.719999999999926,11.705,1.140202702702686,Feasible,Feasible,Feasible,29.719807307235897,0.005932629108428955,0.006638344377279282,602.2411673348397,0.20601444318890572,2.0051499605178833,1.7763568394002505e-15,-0.12000000000007205
8,8,43659,147563.77972222216,32,16,1,20,7.080000000000001,7.680000000000001,7.080000000000005,,0.0,Optimal,Feasible,Feasible,21.35844934359193,0.006446504965424538,0.006540507078170776,16.81440670322627,0.1728034932166338,1.0890311235561967,0.5999999999999996,4.440892098500626e-15
9,9,16896,9477.266388888891,32,16,1,1,1.04,1.28,1.0400000000000003,,0.0,Optimal,Feasible,Feasible,8.328144082799554,0.005874740891158581,0.006562139838933945,6.034034789539874,0.03510497510433197,0.0445743128657341,0.24,2.220446049250313e-16
10,10,285784,258734.2538888889,32,8,8,40,11.6,11.68,11.639999999999928,11.542,0.49999999999999856,Feasible,Feasible,Feasible,141.38414366263896,0.010931785218417645,0.011213907971978188,605.8165050754324,0.9372215084731579,6.024591895751655,0.08000000000000007,0.03999999999992809
11,11,128757,166034.29666666666,32,8,8,20,6.44,6.44,6.440000000000005,6.396,0.6832298136646038,Feasible,Feasible,Feasible,63.92109589651227,0.010896775871515274,0.011110940016806126,604.5573560707271,0.4649444380775094,2.0508710043504834,0.0,4.440892098500626e-15
12,12,65792,7735.199444444443,32,8,8,1,0.5599999999999999,0.64,0.56,,0.0,Optimal,Feasible,Feasible,32.55087194312364,0.010753771290183067,0.011797990649938583,8.158524963073432,0.04432971403002739,0.04417171981185675,0.08000000000000007,1.1102230246251565e-16
13,13,112746,364061.57249999995,32,8,4,40,13.68,14.079999999999998,13.68000000000001,,0.0,Optimal,Feasible,Feasible,55.79943748284131,0.00745713897049427,0.009558679535984993,192.96189840883017,0.776652037166059,3.275040184147656,0.3999999999999986,1.0658141036401503e-14
14,14,71337,104365.54583333332,32,8,4,20,5.680000000000001,5.76,5.680000000000004,,0.0,Optimal,Feasible,Feasible,35.26916341204196,0.007580399513244629,0.007829527370631695,73.98421139921993,0.23059605062007904,1.1403144374489784,0.07999999999999918,3.552713678800501e-15
15,15,33024,9341.21388888889,32,8,4,1,0.56,0.64,0.56,,0.0,Optimal,Feasible,Feasible,16.39218472968787,0.007577824406325817,0.0077606188133358955,4.495428099296987,0.043054210022091866,0.043384174816310406,0.07999999999999996,0.0
