datetime,app0,app1
1970-01-01 00:00:00,106981,74512
1970-01-01 00:15:00,106414,83969
1970-01-01 00:30:00,105505,81891
1970-01-01 00:45:00,104740,85270
1970-01-01 01:00:00,104002,99931
1970-01-01 01:15:00,103046,119619
1970-01-01 01:30:00,102365,120913
1970-01-01 01:45:00,101418,113440
1970-01-01 02:00:00,100598,120866
1970-01-01 02:15:00,99874,128730
1970-01-01 02:30:00,98893,123049
1970-01-01 02:45:00,98190,114619
1970-01-01 03:00:00,97373,105159
1970-01-01 03:15:00,96627,96605
1970-01-01 03:30:00,95848,96902
1970-01-01 03:45:00,94932,94613
1970-01-01 04:00:00,94260,102567
1970-01-01 04:15:00,93458,98473
1970-01-01 04:30:00,92583,99231
1970-01-01 04:45:00,91742,101529
1970-01-01 05:00:00,91040,99981
1970-01-01 05:15:00,90132,98906
1970-01-01 05:30:00,89254,97917
1970-01-01 05:45:00,88492,97242
1970-01-01 06:00:00,87676,94035
1970-01-01 06:15:00,87008,90385
1970-01-01 06:30:00,86005,94699
1970-01-01 06:45:00,85375,102727
1970-01-01 07:00:00,84515,102860
1970-01-01 07:15:00,83646,91987
1970-01-01 07:30:00,82811,87527
1970-01-01 07:45:00,82015,85461
1970-01-01 08:00:00,81286,84263
1970-01-01 08:15:00,80294,85015
1970-01-01 08:30:00,79573,90219
1970-01-01 08:45:00,78784,84883
1970-01-01 09:00:00,77942,78737
1970-01-01 09:15:00,77195,78737
1970-01-01 09:30:00,76391,143710
1970-01-01 09:45:00,75585,93077
1970-01-01 10:00:00,74718,96578
1970-01-01 10:15:00,73940,97391
1970-01-01 10:30:00,73033,104877
1970-01-01 10:45:00,72279,112372
1970-01-01 11:00:00,71439,106614
1970-01-01 11:15:00,70687,106624
1970-01-01 11:30:00,69817,108830
1970-01-01 11:45:00,69130,110020
1970-01-01 12:00:00,68278,100310
1970-01-01 12:15:00,67544,111379
1970-01-01 12:30:00,66671,118856
1970-01-01 12:45:00,65981,126201
1970-01-01 13:00:00,65173,129731
1970-01-01 13:15:00,64325,135656
1970-01-01 13:30:00,63399,138785
1970-01-01 13:45:00,62628,138962
1970-01-01 14:00:00,61754,145656
1970-01-01 14:15:00,61034,144162
1970-01-01 14:30:00,60037,142020
1970-01-01 14:45:00,59353,138466
1970-01-01 15:00:00,58582,140471
1970-01-01 15:15:00,57740,144190
1970-01-01 15:30:00,56880,145296
1970-01-01 15:45:00,56037,145673
1970-01-01 16:00:00,55300,148756
1970-01-01 16:15:00,54491,159274
1970-01-01 16:30:00,53688,171761
1970-01-01 16:45:00,52817,173212
1970-01-01 17:00:00,52073,169764
1970-01-01 17:15:00,51276,172907
1970-01-01 17:30:00,50486,170212
1970-01-01 17:45:00,49576,164510
1970-01-01 18:00:00,48678,158059
1970-01-01 18:15:00,48124,139932
1970-01-01 18:30:00,47193,144873
1970-01-01 18:45:00,46336,147920
1970-01-01 19:00:00,45607,150298
1970-01-01 19:15:00,44715,152967
1970-01-01 19:30:00,43890,149004
1970-01-01 19:45:00,43198,149234
1970-01-01 20:00:00,42418,152669
1970-01-01 20:15:00,41632,155824
1970-01-01 20:30:00,40790,161216
1970-01-01 20:45:00,39975,150908
1970-01-01 21:00:00,39118,141494
1970-01-01 21:15:00,38228,142542
1970-01-01 21:30:00,37578,150240
1970-01-01 21:45:00,36716,164617
1970-01-01 22:00:00,35839,172158
1970-01-01 22:15:00,34987,178536
1970-01-01 22:30:00,34168,182077
1970-01-01 22:45:00,33566,185513
1970-01-01 23:00:00,32598,188693
1970-01-01 23:15:00,31906,283267
1970-01-01 23:30:00,30827,209114
1970-01-01 23:45:00,30040,210082
