datetime,app0,app1
1970-01-01 00:00:00,457200,403200
1970-01-01 01:00:00,450000,525600
1970-01-01 02:00:00,432000,554400
1970-01-01 03:00:00,417600,471600
1970-01-01 04:00:00,406800,457200
1970-01-01 05:00:00,396000,435600
1970-01-01 06:00:00,385200,453600
1970-01-01 07:00:00,367200,450000
1970-01-01 08:00:00,360000,406800
1970-01-01 09:00:00,345600,1051200
1970-01-01 10:00:00,327600,475200
1970-01-01 11:00:00,320400,478800
1970-01-01 12:00:00,302400,547200
1970-01-01 13:00:00,298800,604800
1970-01-01 14:00:00,280800,615600
1970-01-01 15:00:00,262800,630000
1970-01-01 16:00:00,252000,727200
1970-01-01 17:00:00,237600,727200
1970-01-01 18:00:00,223200,673200
1970-01-01 19:00:00,223200,662400
1970-01-01 20:00:00,201600,676800
1970-01-01 21:00:00,187200,698400
1970-01-01 22:00:00,180000,788400
1970-01-01 23:00:00,162000,1947600
