datetime,app0,app1
1970-01-01 00:00:00,106981,36027
1970-01-01 00:15:00,106414,36716
1970-01-01 00:30:00,105505,37497
1970-01-01 00:45:00,104740,38374
1970-01-01 01:00:00,104002,39272
1970-01-01 01:15:00,103046,40093
1970-01-01 01:30:00,102365,40972
1970-01-01 01:45:00,101418,41645
1970-01-01 02:00:00,100598,42366
1970-01-01 02:15:00,99874,43331
1970-01-01 02:30:00,98893,44092
1970-01-01 02:45:00,98190,44934
1970-01-01 03:00:00,97373,45591
1970-01-01 03:15:00,96627,46463
1970-01-01 03:30:00,95848,47239
1970-01-01 03:45:00,94932,48104
1970-01-01 04:00:00,94260,48903
1970-01-01 04:15:00,93458,49704
1970-01-01 04:30:00,92583,50598
1970-01-01 04:45:00,91742,51381
1970-01-01 05:00:00,91040,52111
1970-01-01 05:15:00,90132,53017
1970-01-01 05:30:00,89254,53790
1970-01-01 05:45:00,88492,54503
1970-01-01 06:00:00,87676,55328
1970-01-01 06:15:00,87008,56203
1970-01-01 06:30:00,86005,56938
1970-01-01 06:45:00,85375,57808
1970-01-01 07:00:00,84515,58635
1970-01-01 07:15:00,83646,59616
1970-01-01 07:30:00,82811,60457
1970-01-01 07:45:00,82015,61111
1970-01-01 08:00:00,81286,61894
1970-01-01 08:15:00,80294,62701
1970-01-01 08:30:00,79573,63508
1970-01-01 08:45:00,78784,64289
1970-01-01 09:00:00,77942,65013
1970-01-01 09:15:00,77195,66016
1970-01-01 09:30:00,76391,66733
1970-01-01 09:45:00,75585,67634
1970-01-01 10:00:00,74718,68361
1970-01-01 10:15:00,73940,69114
1970-01-01 10:30:00,73033,69954
1970-01-01 10:45:00,72279,70739
1970-01-01 11:00:00,71439,71595
1970-01-01 11:15:00,70687,72333
1970-01-01 11:30:00,69817,73244
1970-01-01 11:45:00,69130,74076
1970-01-01 12:00:00,68278,74860
1970-01-01 12:15:00,67544,75600
1970-01-01 12:30:00,66671,76360
1970-01-01 12:45:00,65981,77242
1970-01-01 13:00:00,65173,78031
1970-01-01 13:15:00,64325,78913
1970-01-01 13:30:00,63399,79688
1970-01-01 13:45:00,62628,80500
1970-01-01 14:00:00,61754,81368
1970-01-01 14:15:00,61034,82281
1970-01-01 14:30:00,60037,83000
1970-01-01 14:45:00,59353,83851
1970-01-01 15:00:00,58582,84582
1970-01-01 15:15:00,57740,85456
1970-01-01 15:30:00,56880,86187
1970-01-01 15:45:00,56037,86998
1970-01-01 16:00:00,55300,87804
1970-01-01 16:15:00,54491,88656
1970-01-01 16:30:00,53688,89274
1970-01-01 16:45:00,52817,90191
1970-01-01 17:00:00,52073,90977
1970-01-01 17:15:00,51276,91847
1970-01-01 17:30:00,50486,92685
1970-01-01 17:45:00,49576,93526
1970-01-01 18:00:00,48678,94337
1970-01-01 18:15:00,48124,95006
1970-01-01 18:30:00,47193,95818
1970-01-01 18:45:00,46336,96677
1970-01-01 19:00:00,45607,97596
1970-01-01 19:15:00,44715,98443
1970-01-01 19:30:00,43890,99081
1970-01-01 19:45:00,43198,100029
1970-01-01 20:00:00,42418,100631
1970-01-01 20:15:00,41632,101446
1970-01-01 20:30:00,40790,102268
1970-01-01 20:45:00,39975,103086
1970-01-01 21:00:00,39118,103964
1970-01-01 21:15:00,38228,104796
1970-01-01 21:30:00,37578,105656
1970-01-01 21:45:00,36716,106402
1970-01-01 22:00:00,35839,107184
1970-01-01 22:15:00,34987,108000
1970-01-01 22:30:00,34168,108751
1970-01-01 22:45:00,33566,109620
1970-01-01 23:00:00,32598,110450
1970-01-01 23:15:00,31906,111129
1970-01-01 23:30:00,30827,112157
1970-01-01 23:45:00,30040,112877
