datetime,app0,app1
1970-01-01 00:00:00,35726,11828
1970-01-01 00:05:00,35714,11893
1970-01-01 00:10:00,35541,11845
1970-01-01 00:15:00,35534,11843
1970-01-01 00:20:00,35486,11872
1970-01-01 00:25:00,35394,11783
1970-01-01 00:30:00,35227,11838
1970-01-01 00:35:00,35198,11813
1970-01-01 00:40:00,35080,11775
1970-01-01 00:45:00,34936,11831
1970-01-01 00:50:00,34911,11804
1970-01-01 00:55:00,34893,11918
1970-01-01 01:00:00,34819,11844
1970-01-01 01:05:00,34650,11776
1970-01-01 01:10:00,34533,11876
1970-01-01 01:15:00,34420,11829
1970-01-01 01:20:00,34382,11842
1970-01-01 01:25:00,34244,11886
1970-01-01 01:30:00,34193,11779
1970-01-01 01:35:00,34159,11866
1970-01-01 01:40:00,34013,11842
1970-01-01 01:45:00,33883,11874
1970-01-01 01:50:00,33835,11879
1970-01-01 01:55:00,33700,11786
1970-01-01 02:00:00,33629,11800
1970-01-01 02:05:00,33553,11919
1970-01-01 02:10:00,33416,13071
1970-01-01 02:15:00,33375,34666
1970-01-01 02:20:00,33309,11853
1970-01-01 02:25:00,33190,11833
1970-01-01 02:30:00,33134,11859
1970-01-01 02:35:00,32924,11823
1970-01-01 02:40:00,32835,11872
1970-01-01 02:45:00,32821,11835
1970-01-01 02:50:00,32700,11815
1970-01-01 02:55:00,32669,11881
1970-01-01 03:00:00,32529,11866
1970-01-01 03:05:00,32465,11830
1970-01-01 03:10:00,32379,11846
1970-01-01 03:15:00,32263,11901
1970-01-01 03:20:00,32194,11803
1970-01-01 03:25:00,32170,11838
1970-01-01 03:30:00,32011,11880
1970-01-01 03:35:00,31936,11869
1970-01-01 03:40:00,31901,11806
1970-01-01 03:45:00,31702,11906
1970-01-01 03:50:00,31709,11821
1970-01-01 03:55:00,31521,11835
1970-01-01 04:00:00,31495,11782
1970-01-01 04:05:00,31426,11816
1970-01-01 04:10:00,31339,11865
1970-01-01 04:15:00,31236,11830
1970-01-01 04:20:00,31163,11809
1970-01-01 04:25:00,31059,11870
1970-01-01 04:30:00,30967,11871
1970-01-01 04:35:00,30904,11874
1970-01-01 04:40:00,30712,11822
1970-01-01 04:45:00,30670,11821
1970-01-01 04:50:00,30634,11828
1970-01-01 04:55:00,30438,11803
1970-01-01 05:00:00,30372,11829
1970-01-01 05:05:00,30376,11853
1970-01-01 05:10:00,30292,11953
1970-01-01 05:15:00,30099,11835
1970-01-01 05:20:00,30089,11905
1970-01-01 05:25:00,29944,11819
1970-01-01 05:30:00,29786,11755
1970-01-01 05:35:00,29784,11876
1970-01-01 05:40:00,29684,11810
1970-01-01 05:45:00,29591,11874
1970-01-01 05:50:00,29554,11881
1970-01-01 05:55:00,29347,11835
1970-01-01 06:00:00,29353,11916
1970-01-01 06:05:00,29183,11872
1970-01-01 06:10:00,29140,11811
1970-01-01 06:15:00,29072,11908
1970-01-01 06:20:00,28972,11888
1970-01-01 06:25:00,28964,11868
1970-01-01 06:30:00,28717,11910
1970-01-01 06:35:00,28665,11835
1970-01-01 06:40:00,28623,11801
1970-01-01 06:45:00,28575,11814
1970-01-01 06:50:00,28480,11786
1970-01-01 06:55:00,28320,11815
1970-01-01 07:00:00,28314,11827
1970-01-01 07:05:00,28121,11885
1970-01-01 07:10:00,28080,11757
1970-01-01 07:15:00,27946,11786
1970-01-01 07:20:00,27883,11939
1970-01-01 07:25:00,27817,11879
1970-01-01 07:30:00,27675,11837
1970-01-01 07:35:00,27630,11814
1970-01-01 07:40:00,27506,11810
1970-01-01 07:45:00,27421,11923
1970-01-01 07:50:00,27336,11784
1970-01-01 07:55:00,27258,11797
1970-01-01 08:00:00,27226,11824
1970-01-01 08:05:00,27099,11818
1970-01-01 08:10:00,26961,11847
