datetime,app0,app1
1970-01-01 00:00:00,106981,36520
1970-01-01 00:15:00,106414,38420
1970-01-01 00:30:00,105505,40254
1970-01-01 00:45:00,104740,41971
1970-01-01 01:00:00,104002,43556
1970-01-01 01:15:00,103046,44990
1970-01-01 01:30:00,102365,46259
1970-01-01 01:45:00,101418,47481
1970-01-01 02:00:00,100598,48371
1970-01-01 02:15:00,99874,49272
1970-01-01 02:30:00,98893,49498
1970-01-01 02:45:00,98190,49852
1970-01-01 03:00:00,97373,49747
1970-01-01 03:15:00,96627,49617
1970-01-01 03:30:00,95848,49059
1970-01-01 03:45:00,94932,48415
1970-01-01 04:00:00,94260,47460
1970-01-01 04:15:00,93458,46484
1970-01-01 04:30:00,92583,45135
1970-01-01 04:45:00,91742,43571
1970-01-01 05:00:00,91040,41842
1970-01-01 05:15:00,90132,40235
1970-01-01 05:30:00,89254,38269
1970-01-01 05:45:00,88492,36502
1970-01-01 06:00:00,87676,34679
1970-01-01 06:15:00,87008,32523
1970-01-01 06:30:00,86005,30885
1970-01-01 06:45:00,85375,29121
1970-01-01 07:00:00,84515,27608
1970-01-01 07:15:00,83646,25918
1970-01-01 07:30:00,82811,24904
1970-01-01 07:45:00,82015,23626
1970-01-01 08:00:00,81286,22666
1970-01-01 08:15:00,80294,21838
1970-01-01 08:30:00,79573,21532
1970-01-01 08:45:00,78784,21169
1970-01-01 09:00:00,77942,21189
1970-01-01 09:15:00,77195,21405
1970-01-01 09:30:00,76391,21975
1970-01-01 09:45:00,75585,22572
1970-01-01 10:00:00,74718,23488
1970-01-01 10:15:00,73940,24924
1970-01-01 10:30:00,73033,26063
1970-01-01 10:45:00,72279,27698
1970-01-01 11:00:00,71439,29318
1970-01-01 11:15:00,70687,30896
1970-01-01 11:30:00,69817,32693
1970-01-01 11:45:00,69130,34539
1970-01-01 12:00:00,68278,36510
1970-01-01 12:15:00,67544,38395
1970-01-01 12:30:00,66671,40309
1970-01-01 12:45:00,65981,41984
1970-01-01 13:00:00,65173,43572
1970-01-01 13:15:00,64325,45075
1970-01-01 13:30:00,63399,46394
1970-01-01 13:45:00,62628,47581
1970-01-01 14:00:00,61754,48398
1970-01-01 14:15:00,61034,49243
1970-01-01 14:30:00,60037,49728
1970-01-01 14:45:00,59353,49783
1970-01-01 15:00:00,58582,49801
1970-01-01 15:15:00,57740,49803
1970-01-01 15:30:00,56880,49301
1970-01-01 15:45:00,56037,48391
1970-01-01 16:00:00,55300,47553
1970-01-01 16:15:00,54491,46394
1970-01-01 16:30:00,53688,44996
1970-01-01 16:45:00,52817,43645
1970-01-01 17:00:00,52073,41971
1970-01-01 17:15:00,51276,40188
1970-01-01 17:30:00,50486,38311
1970-01-01 17:45:00,49576,36462
1970-01-01 18:00:00,48678,34628
1970-01-01 18:15:00,48124,32693
1970-01-01 18:30:00,47193,30959
1970-01-01 18:45:00,46336,29070
1970-01-01 19:00:00,45607,27434
1970-01-01 19:15:00,44715,25909
1970-01-01 19:30:00,43890,24815
1970-01-01 19:45:00,43198,23571
1970-01-01 20:00:00,42418,22630
1970-01-01 20:15:00,41632,21873
1970-01-01 20:30:00,40790,21377
1970-01-01 20:45:00,39975,21260
1970-01-01 21:00:00,39118,21261
1970-01-01 21:15:00,38228,21515
1970-01-01 21:30:00,37578,21957
1970-01-01 21:45:00,36716,22707
1970-01-01 22:00:00,35839,23389
1970-01-01 22:15:00,34987,24742
1970-01-01 22:30:00,34168,26157
1970-01-01 22:45:00,33566,27448
1970-01-01 23:00:00,32598,29166
1970-01-01 23:15:00,31906,30815
1970-01-01 23:30:00,30827,32794
1970-01-01 23:45:00,30040,34588
