datetime,app0,app1
1970-01-01 00:00:00,37800,15000
1970-01-01 00:05:00,38100,14400
1970-01-01 00:10:00,37500,14100
1970-01-01 00:15:00,37500,13800
1970-01-01 00:20:00,37800,14100
1970-01-01 00:25:00,37500,14700
1970-01-01 00:30:00,37500,14700
1970-01-01 00:35:00,37500,13800
1970-01-01 00:40:00,36900,14400
1970-01-01 00:45:00,36900,15000
1970-01-01 00:50:00,36900,14400
1970-01-01 00:55:00,36600,14400
1970-01-01 01:00:00,37200,14100
1970-01-01 01:05:00,37500,14100
1970-01-01 01:10:00,36300,13800
1970-01-01 01:15:00,37200,14100
1970-01-01 01:20:00,36600,13800
1970-01-01 01:25:00,36600,14100
1970-01-01 01:30:00,36300,14100
1970-01-01 01:35:00,36900,14400
1970-01-01 01:40:00,36300,14400
1970-01-01 01:45:00,36600,14100
1970-01-01 01:50:00,36300,14100
1970-01-01 01:55:00,36000,14100
1970-01-01 02:00:00,35700,14700
1970-01-01 02:05:00,35700,14100
1970-01-01 02:10:00,35700,14100
1970-01-01 02:15:00,36000,14100
1970-01-01 02:20:00,35400,14100
1970-01-01 02:25:00,35400,14400
1970-01-01 02:30:00,35400,14400
1970-01-01 02:35:00,35100,14100
1970-01-01 02:40:00,35400,13800
1970-01-01 02:45:00,34800,14400
1970-01-01 02:50:00,35100,14700
1970-01-01 02:55:00,35400,14100
1970-01-01 03:00:00,34200,14100
1970-01-01 03:05:00,34500,14400
1970-01-01 03:10:00,34800,14700
1970-01-01 03:15:00,34500,14400
1970-01-01 03:20:00,34200,13800
1970-01-01 03:25:00,33900,14100
1970-01-01 03:30:00,34500,14400
1970-01-01 03:35:00,34800,13800
1970-01-01 03:40:00,34500,13800
1970-01-01 03:45:00,33900,14100
1970-01-01 03:50:00,33600,14100
1970-01-01 03:55:00,33900,13800
1970-01-01 04:00:00,33900,14100
1970-01-01 04:05:00,33600,14400
1970-01-01 04:10:00,33600,13800
1970-01-01 04:15:00,33300,14100
1970-01-01 04:20:00,33300,14100
1970-01-01 04:25:00,33300,14100
1970-01-01 04:30:00,33600,14100
1970-01-01 04:35:00,33600,15000
1970-01-01 04:40:00,32700,13800
1970-01-01 04:45:00,33300,13800
1970-01-01 04:50:00,32700,14100
1970-01-01 04:55:00,32700,13500
1970-01-01 05:00:00,33000,14400
1970-01-01 05:05:00,33000,14100
1970-01-01 05:10:00,32700,13800
1970-01-01 05:15:00,32100,14100
1970-01-01 05:20:00,31800,13800
1970-01-01 05:25:00,32400,13800
1970-01-01 05:30:00,32700,14100
1970-01-01 05:35:00,32100,14400
1970-01-01 05:40:00,32400,14100
1970-01-01 05:45:00,31800,14100
1970-01-01 05:50:00,31500,14400
1970-01-01 05:55:00,31800,14100
1970-01-01 06:00:00,32100,13800
1970-01-01 06:05:00,31200,14100
1970-01-01 06:10:00,31500,14100
1970-01-01 06:15:00,32100,14100
1970-01-01 06:20:00,32100,13800
1970-01-01 06:25:00,30600,14400
1970-01-01 06:30:00,30600,14100
1970-01-01 06:35:00,31500,13800
1970-01-01 06:40:00,30900,14700
1970-01-01 06:45:00,31200,13800
1970-01-01 06:50:00,30600,14400
1970-01-01 06:55:00,30000,13800
1970-01-01 07:00:00,30600,14100
1970-01-01 07:05:00,30600,13800
1970-01-01 07:10:00,30300,14400
1970-01-01 07:15:00,30300,13500
1970-01-01 07:20:00,29700,14100
1970-01-01 07:25:00,29700,14400
1970-01-01 07:30:00,30000,14100
1970-01-01 07:35:00,29700,14400
1970-01-01 07:40:00,29400,14100
1970-01-01 07:45:00,29700,13800
1970-01-01 07:50:00,29400,13800
1970-01-01 07:55:00,29700,13800
1970-01-01 08:00:00,30000,15000
1970-01-01 08:05:00,29700,14100
1970-01-01 08:10:00,29100,14100
1970-01-01 08:15:00,29100,14100
1970-01-01 08:20:00,28800,13500
1970-01-01 08:25:00,28800,14100
1970-01-01 08:30:00,28500,14100
1970-01-01 08:35:00,28200,14100
1970-01-01 08:40:00,29100,14100
1970-01-01 08:45:00,28800,15300
1970-01-01 08:50:00,28200,14700
1970-01-01 08:55:00,27900,14100
1970-01-01 09:00:00,28800,14400
1970-01-01 09:05:00,27900,14100
1970-01-01 09:10:00,28200,13500
1970-01-01 09:15:00,28500,14100
1970-01-01 09:20:00,27900,14100
1970-01-01 09:25:00,27900,14100
1970-01-01 09:30:00,27600,14100
1970-01-01 09:35:00,27900,14700
1970-01-01 09:40:00,27900,14100
1970-01-01 09:45:00,27900,14100
1970-01-01 09:50:00,28200,14100
1970-01-01 09:55:00,28200,14100
1970-01-01 10:00:00,27000,14400
1970-01-01 10:05:00,27300,14700
1970-01-01 10:10:00,26400,14400
1970-01-01 10:15:00,27000,14100
1970-01-01 10:20:00,27000,13800
1970-01-01 10:25:00,27300,14100
1970-01-01 10:30:00,27300,13800
1970-01-01 10:35:00,26400,14100
1970-01-01 10:40:00,26400,14400
1970-01-01 10:45:00,26400,13500
1970-01-01 10:50:00,26100,14400
1970-01-01 10:55:00,26100,14400
1970-01-01 11:00:00,26100,14400
1970-01-01 11:05:00,26100,14700
1970-01-01 11:10:00,26700,14100
1970-01-01 11:15:00,26100,14100
1970-01-01 11:20:00,25500,13800
1970-01-01 11:25:00,25800,14400
1970-01-01 11:30:00,25500,14400
1970-01-01 11:35:00,26100,14100
1970-01-01 11:40:00,25200,13800
1970-01-01 11:45:00,25500,14100
1970-01-01 11:50:00,24900,13800
1970-01-01 11:55:00,24600,13800
1970-01-01 12:00:00,25200,13800
1970-01-01 12:05:00,25200,14100
1970-01-01 12:10:00,25200,14700
1970-01-01 12:15:00,24900,13800
1970-01-01 12:20:00,24900,14400
1970-01-01 12:25:00,25200,13800
1970-01-01 12:30:00,25200,13800
1970-01-01 12:35:00,24300,14100
1970-01-01 12:40:00,24300,13800
1970-01-01 12:45:00,24300,15000
1970-01-01 12:50:00,24300,13800
1970-01-01 12:55:00,24300,14700
1970-01-01 13:00:00,24600,14100
1970-01-01 13:05:00,24900,14100
1970-01-01 13:10:00,24000,14100
