datetime,app0,app1
1970-01-01 00:00:00,423640,142095
1970-01-01 01:00:00,410831,142176
1970-01-01 02:00:00,397555,142308
1970-01-01 03:00:00,384780,142134
1970-01-01 04:00:00,372043,142230
1970-01-01 05:00:00,358918,142337
1970-01-01 06:00:00,346064,142273
1970-01-01 07:00:00,332987,142340
1970-01-01 08:00:00,319937,142257
1970-01-01 09:00:00,307113,142140
1970-01-01 10:00:00,293970,142181
1970-01-01 11:00:00,281073,142183
1970-01-01 12:00:00,268474,142095
1970-01-01 13:00:00,255525,142147
1970-01-01 14:00:00,242178,142332
1970-01-01 15:00:00,229239,142332
1970-01-01 16:00:00,216296,142262
1970-01-01 17:00:00,203411,142106
1970-01-01 18:00:00,190331,142373
1970-01-01 19:00:00,177410,142008
1970-01-01 20:00:00,164815,141988
1970-01-01 21:00:00,151640,142072
1970-01-01 22:00:00,138560,142413
1970-01-01 23:00:00,125371,142326
