datetime,app0,app1
1970-01-01 00:00:00,35726,47207
1970-01-01 00:05:00,35714,47302
1970-01-01 00:10:00,35541,45517
1970-01-01 00:15:00,35534,44415
1970-01-01 00:20:00,35486,44227
1970-01-01 00:25:00,35394,45461
1970-01-01 00:30:00,35227,44402
1970-01-01 00:35:00,35198,43154
1970-01-01 00:40:00,35080,42154
1970-01-01 00:45:00,34936,43076
1970-01-01 00:50:00,34911,42260
1970-01-01 00:55:00,34893,43562
1970-01-01 01:00:00,34819,43516
1970-01-01 01:05:00,34650,42761
1970-01-01 01:10:00,34533,42399
1970-01-01 01:15:00,34420,41273
1970-01-01 01:20:00,34382,40169
1970-01-01 01:25:00,34244,41542
1970-01-01 01:30:00,34193,43033
1970-01-01 01:35:00,34159,44080
1970-01-01 01:40:00,34013,44743
1970-01-01 01:45:00,33883,45844
1970-01-01 01:50:00,33835,48229
1970-01-01 01:55:00,33700,49358
1970-01-01 02:00:00,33629,49913
1970-01-01 02:05:00,33553,49059
1970-01-01 02:10:00,33416,49618
1970-01-01 02:15:00,33375,50089
1970-01-01 02:20:00,33309,50291
1970-01-01 02:25:00,33190,50296
1970-01-01 02:30:00,33134,51071
1970-01-01 02:35:00,32924,49436
1970-01-01 02:40:00,32835,49154
1970-01-01 02:45:00,32821,50574
1970-01-01 02:50:00,32700,49912
1970-01-01 02:55:00,32669,49295
1970-01-01 03:00:00,32529,49706
1970-01-01 03:05:00,32465,48584
1970-01-01 03:10:00,32379,47713
1970-01-01 03:15:00,32263,46838
1970-01-01 03:20:00,32194,47755
1970-01-01 03:25:00,32170,46695
1970-01-01 03:30:00,32011,46571
1970-01-01 03:35:00,31936,46676
1970-01-01 03:40:00,31901,46913
1970-01-01 03:45:00,31702,47998
1970-01-01 03:50:00,31709,48627
1970-01-01 03:55:00,31521,49732
1970-01-01 04:00:00,31495,49598
1970-01-01 04:05:00,31426,47991
1970-01-01 04:10:00,31339,48599
1970-01-01 04:15:00,31236,48808
1970-01-01 04:20:00,31163,49563
1970-01-01 04:25:00,31059,49243
1970-01-01 04:30:00,30967,50286
1970-01-01 04:35:00,30904,51449
1970-01-01 04:40:00,30712,51781
1970-01-01 04:45:00,30670,51641
1970-01-01 04:50:00,30634,51173
1970-01-01 04:55:00,30438,49878
1970-01-01 05:00:00,30372,50821
1970-01-01 05:05:00,30376,52281
1970-01-01 05:10:00,30292,52233
1970-01-01 05:15:00,30099,52043
1970-01-01 05:20:00,30089,53219
1970-01-01 05:25:00,29944,54953
1970-01-01 05:30:00,29786,54459
1970-01-01 05:35:00,29784,53252
1970-01-01 05:40:00,29684,51824
1970-01-01 05:45:00,29591,51418
1970-01-01 05:50:00,29554,52852
1970-01-01 05:55:00,29347,51723
1970-01-01 06:00:00,29353,49981
1970-01-01 06:05:00,29183,48702
1970-01-01 06:10:00,29140,46824
1970-01-01 06:15:00,29072,45346
1970-01-01 06:20:00,28972,44075
1970-01-01 06:25:00,28964,44556
1970-01-01 06:30:00,28717,43786
1970-01-01 06:35:00,28665,44422
1970-01-01 06:40:00,28623,42750
1970-01-01 06:45:00,28575,42038
1970-01-01 06:50:00,28480,42178
1970-01-01 06:55:00,28320,42109
1970-01-01 07:00:00,28314,40563
1970-01-01 07:05:00,28121,41565
1970-01-01 07:10:00,28080,41128
1970-01-01 07:15:00,27946,40586
1970-01-01 07:20:00,27883,39910
1970-01-01 07:25:00,27817,39153
1970-01-01 07:30:00,27675,37491
1970-01-01 07:35:00,27630,37201
1970-01-01 07:40:00,27506,36677
1970-01-01 07:45:00,27421,36421
1970-01-01 07:50:00,27336,37225
1970-01-01 07:55:00,27258,37404
1970-01-01 08:00:00,27226,37719
1970-01-01 08:05:00,27099,37628
1970-01-01 08:10:00,26961,38475
1970-01-01 08:15:00,26824,39725
1970-01-01 08:20:00,26813,40630
1970-01-01 08:25:00,26657,39655
1970-01-01 08:30:00,26614,38957
1970-01-01 08:35:00,26481,39183
1970-01-01 08:40:00,26478,37952
1970-01-01 08:45:00,26356,36903
1970-01-01 08:50:00,26285,37021
1970-01-01 08:55:00,26143,36425
1970-01-01 09:00:00,26103,35161
1970-01-01 09:05:00,25940,34879
1970-01-01 09:10:00,25899,33668
1970-01-01 09:15:00,25797,33007
1970-01-01 09:20:00,25702,30549
1970-01-01 09:25:00,25696,29378
1970-01-01 09:30:00,25524,29007
1970-01-01 09:35:00,25458,27922
1970-01-01 09:40:00,25409,27015
1970-01-01 09:45:00,25200,27622
1970-01-01 09:50:00,25255,27132
1970-01-01 09:55:00,25130,28304
1970-01-01 10:00:00,24996,29959
1970-01-01 10:05:00,24954,29907
1970-01-01 10:10:00,24768,30181
1970-01-01 10:15:00,24709,29322
1970-01-01 10:20:00,24731,28385
1970-01-01 10:25:00,24500,27683
1970-01-01 10:30:00,24471,26568
1970-01-01 10:35:00,24313,25794
1970-01-01 10:40:00,24249,25195
1970-01-01 10:45:00,24159,25978
1970-01-01 10:50:00,24168,25968
1970-01-01 10:55:00,23952,27367
1970-01-01 11:00:00,23857,29499
1970-01-01 11:05:00,23788,30493
1970-01-01 11:10:00,23794,31614
1970-01-01 11:15:00,23687,31131
1970-01-01 11:20:00,23504,31281
1970-01-01 11:25:00,23496,32395
1970-01-01 11:30:00,23346,32636
1970-01-01 11:35:00,23291,35102
1970-01-01 11:40:00,23180,37932
1970-01-01 11:45:00,23169,39409
1970-01-01 11:50:00,23039,38286
1970-01-01 11:55:00,22922,36826
1970-01-01 12:00:00,22809,36881
1970-01-01 12:05:00,22745,35284
1970-01-01 12:10:00,22724,35303
1970-01-01 12:15:00,22585,35438
1970-01-01 12:20:00,22561,36664
1970-01-01 12:25:00,22398,36791
1970-01-01 12:30:00,22218,36319
1970-01-01 12:35:00,22253,36910
1970-01-01 12:40:00,22200,35576
1970-01-01 12:45:00,22071,34333
1970-01-01 12:50:00,22046,35087
1970-01-01 12:55:00,21864,35795
1970-01-01 13:00:00,21806,35597
1970-01-01 13:05:00,21702,35911
1970-01-01 13:10:00,21665,37092
1970-01-01 13:15:00,21516,37283
1970-01-01 13:20:00,21452,38001
1970-01-01 13:25:00,21357,39696
1970-01-01 13:30:00,21279,38735
1970-01-01 13:35:00,21066,38259
1970-01-01 13:40:00,21054,38908
1970-01-01 13:45:00,20996,39241
1970-01-01 13:50:00,20892,39274
1970-01-01 13:55:00,20740,38306
