datetime,app0,app1
1970-01-01 00:00:00,27000,14700
1970-01-01 00:05:00,27300,14400
1970-01-01 00:10:00,27600,14100
1970-01-01 00:15:00,27600,14100
1970-01-01 00:20:00,30600,14100
1970-01-01 00:25:00,33600,14100
1970-01-01 00:30:00,30300,14100
1970-01-01 00:35:00,30000,15000
1970-01-01 00:40:00,30300,13800
1970-01-01 00:45:00,29400,14100
1970-01-01 00:50:00,30600,14100
1970-01-01 00:55:00,33000,14100
1970-01-01 01:00:00,34500,14100
1970-01-01 01:05:00,36300,14100
1970-01-01 01:10:00,38400,14100
1970-01-01 01:15:00,40800,14100
1970-01-01 01:20:00,43500,14100
1970-01-01 01:25:00,43800,15000
1970-01-01 01:30:00,43800,14400
1970-01-01 01:35:00,43800,14100
1970-01-01 01:40:00,40800,14700
1970-01-01 01:45:00,39300,14400
1970-01-01 01:50:00,40800,14400
1970-01-01 01:55:00,39900,14400
1970-01-01 02:00:00,42000,15000
1970-01-01 02:05:00,42600,14400
1970-01-01 02:10:00,44100,37500
1970-01-01 02:15:00,46200,38400
1970-01-01 02:20:00,45300,15000
1970-01-01 02:25:00,45300,13800
1970-01-01 02:30:00,43500,14400
1970-01-01 02:35:00,44100,13800
1970-01-01 02:40:00,42900,13800
1970-01-01 02:45:00,42000,15000
1970-01-01 02:50:00,40200,13800
1970-01-01 02:55:00,39900,13800
1970-01-01 03:00:00,39300,14100
1970-01-01 03:05:00,37800,14100
1970-01-01 03:10:00,36600,14400
1970-01-01 03:15:00,36900,14700
1970-01-01 03:20:00,33900,14100
1970-01-01 03:25:00,34800,14700
1970-01-01 03:30:00,35700,14100
1970-01-01 03:35:00,34500,14700
1970-01-01 03:40:00,33900,13800
1970-01-01 03:45:00,33900,14100
1970-01-01 03:50:00,33000,13800
1970-01-01 03:55:00,36000,14100
1970-01-01 04:00:00,36300,13800
1970-01-01 04:05:00,38100,14400
1970-01-01 04:10:00,36600,14100
1970-01-01 04:15:00,34800,14100
1970-01-01 04:20:00,35400,13800
1970-01-01 04:25:00,35100,13800
1970-01-01 04:30:00,34800,13800
1970-01-01 04:35:00,36000,13800
1970-01-01 04:40:00,36600,15000
1970-01-01 04:45:00,37200,14400
1970-01-01 04:50:00,37200,14100
1970-01-01 04:55:00,35400,13800
1970-01-01 05:00:00,36000,14100
1970-01-01 05:05:00,36300,14100
1970-01-01 05:10:00,35700,14400
1970-01-01 05:15:00,35400,14100
1970-01-01 05:20:00,35700,14400
1970-01-01 05:25:00,34500,14100
1970-01-01 05:30:00,34500,15000
1970-01-01 05:35:00,34800,14100
1970-01-01 05:40:00,34800,13500
1970-01-01 05:45:00,36000,14400
1970-01-01 05:50:00,35100,13800
1970-01-01 05:55:00,34200,14400
1970-01-01 06:00:00,34200,14700
1970-01-01 06:05:00,34800,14100
1970-01-01 06:10:00,33900,14100
1970-01-01 06:15:00,32700,13800
1970-01-01 06:20:00,33600,14100
1970-01-01 06:25:00,32400,14100
1970-01-01 06:30:00,33900,14100
1970-01-01 06:35:00,33600,14100
1970-01-01 06:40:00,35100,14100
1970-01-01 06:45:00,35400,14100
