datetime,app0,app1
1970-01-01 00:00:00,24993,11828
1970-01-01 00:05:00,24762,11893
1970-01-01 00:10:00,24757,11845
1970-01-01 00:15:00,25689,11843
1970-01-01 00:20:00,27627,11872
1970-01-01 00:25:00,30653,11783
1970-01-01 00:30:00,27264,11838
1970-01-01 00:35:00,26909,11813
1970-01-01 00:40:00,27718,11775
1970-01-01 00:45:00,27442,11831
1970-01-01 00:50:00,27712,11804
1970-01-01 00:55:00,30116,11918
1970-01-01 01:00:00,32201,11844
1970-01-01 01:05:00,33503,11776
1970-01-01 01:10:00,34227,11876
1970-01-01 01:15:00,37828,11829
1970-01-01 01:20:00,40218,11842
1970-01-01 01:25:00,41573,11886
1970-01-01 01:30:00,41588,11779
1970-01-01 01:35:00,40935,11866
1970-01-01 01:40:00,38390,11842
1970-01-01 01:45:00,37299,11874
1970-01-01 01:50:00,38616,11879
1970-01-01 01:55:00,37525,11786
1970-01-01 02:00:00,38985,11800
1970-01-01 02:05:00,40107,11919
1970-01-01 02:10:00,41774,13071
1970-01-01 02:15:00,43233,34666
1970-01-01 02:20:00,43000,11853
1970-01-01 02:25:00,42497,11833
1970-01-01 02:30:00,41291,11859
1970-01-01 02:35:00,41408,11823
1970-01-01 02:40:00,40350,11872
1970-01-01 02:45:00,39265,11835
1970-01-01 02:50:00,37855,11815
1970-01-01 02:55:00,37499,11881
1970-01-01 03:00:00,36269,11866
1970-01-01 03:05:00,34959,11830
1970-01-01 03:10:00,33931,11846
1970-01-01 03:15:00,33672,11901
1970-01-01 03:20:00,31022,11803
1970-01-01 03:25:00,31911,11838
1970-01-01 03:30:00,33176,11880
1970-01-01 03:35:00,32673,11869
1970-01-01 03:40:00,31053,11806
1970-01-01 03:45:00,30501,11906
1970-01-01 03:50:00,30959,11821
1970-01-01 03:55:00,33153,11835
1970-01-01 04:00:00,34178,11782
1970-01-01 04:05:00,34680,11816
1970-01-01 04:10:00,33709,11865
1970-01-01 04:15:00,32724,11830
1970-01-01 04:20:00,33015,11809
1970-01-01 04:25:00,32734,11870
1970-01-01 04:30:00,32228,11871
1970-01-01 04:35:00,33066,11874
1970-01-01 04:40:00,33937,11822
1970-01-01 04:45:00,34530,11821
1970-01-01 04:50:00,33705,11828
1970-01-01 04:55:00,33294,11803
1970-01-01 05:00:00,33580,11829
1970-01-01 05:05:00,33068,11853
1970-01-01 05:10:00,33333,11953
1970-01-01 05:15:00,33106,11835
1970-01-01 05:20:00,33379,11905
1970-01-01 05:25:00,32421,11819
1970-01-01 05:30:00,32538,11755
1970-01-01 05:35:00,32736,11876
1970-01-01 05:40:00,32643,11810
1970-01-01 05:45:00,33216,11874
1970-01-01 05:50:00,32550,11881
1970-01-01 05:55:00,31476,11835
1970-01-01 06:00:00,31933,11916
1970-01-01 06:05:00,31148,11872
1970-01-01 06:10:00,30954,11811
1970-01-01 06:15:00,30039,11908
1970-01-01 06:20:00,30428,11888
1970-01-01 06:25:00,29918,11868
1970-01-01 06:30:00,30794,11910
1970-01-01 06:35:00,31406,11835
1970-01-01 06:40:00,32499,11801
1970-01-01 06:45:00,32674,11814
1970-01-01 06:50:00,34591,11786
1970-01-01 06:55:00,35462,11815
1970-01-01 07:00:00,35202,11827
1970-01-01 07:05:00,34619,11885
1970-01-01 07:10:00,33039,11757
1970-01-01 07:15:00,31083,11786
1970-01-01 07:20:00,30661,11939
1970-01-01 07:25:00,30243,11879
1970-01-01 07:30:00,29358,11837
1970-01-01 07:35:00,29405,11814
1970-01-01 07:40:00,28764,11810
1970-01-01 07:45:00,27425,11923
1970-01-01 07:50:00,29344,11784
1970-01-01 07:55:00,28692,11797
1970-01-01 08:00:00,28344,11824
1970-01-01 08:05:00,28584,11818
1970-01-01 08:10:00,27335,11847
1970-01-01 08:15:00,28435,11863
1970-01-01 08:20:00,28653,11845
1970-01-01 08:25:00,27927,11845
1970-01-01 08:30:00,29106,11847
1970-01-01 08:35:00,30477,11871
1970-01-01 08:40:00,30636,11885
1970-01-01 08:45:00,30619,11805
1970-01-01 08:50:00,27988,11810
1970-01-01 08:55:00,26276,11820
1970-01-01 09:00:00,26390,11841
1970-01-01 09:05:00,26313,11838
1970-01-01 09:10:00,26034,11924
1970-01-01 09:15:00,25654,11921
1970-01-01 09:20:00,25861,11830
1970-01-01 09:25:00,27222,11867
1970-01-01 09:30:00,58738,11839
1970-01-01 09:35:00,55423,11872
1970-01-01 09:40:00,29549,11866
1970-01-01 09:45:00,30402,11886
1970-01-01 09:50:00,30891,11878
1970-01-01 09:55:00,31784,11797
1970-01-01 10:00:00,31103,11877
1970-01-01 10:05:00,32651,11819
1970-01-01 10:10:00,32824,11743
1970-01-01 10:15:00,32342,11841
1970-01-01 10:20:00,32819,11849
1970-01-01 10:25:00,32230,11963
1970-01-01 10:30:00,34038,11940
1970-01-01 10:35:00,34588,11868
1970-01-01 10:40:00,36251,11798
