datetime,app0,app1
1970-01-01 00:00:00,74512,35505
1970-01-01 00:15:00,83969,35528
1970-01-01 00:30:00,81891,35697
1970-01-01 00:45:00,85270,35365
1970-01-01 01:00:00,99931,35458
1970-01-01 01:15:00,119619,35691
1970-01-01 01:30:00,120913,35499
1970-01-01 01:45:00,113440,35528
1970-01-01 02:00:00,120866,35661
1970-01-01 02:15:00,128730,35600
1970-01-01 02:30:00,123049,35439
1970-01-01 02:45:00,114619,35608
1970-01-01 03:00:00,105159,35596
1970-01-01 03:15:00,96605,35368
1970-01-01 03:30:00,96902,35556
1970-01-01 03:45:00,94613,35614
1970-01-01 04:00:00,102567,35606
1970-01-01 04:15:00,98473,35506
1970-01-01 04:30:00,99231,35516
1970-01-01 04:45:00,101529,35602
1970-01-01 05:00:00,99981,35554
1970-01-01 05:15:00,98906,35481
1970-01-01 05:30:00,97917,35591
1970-01-01 05:45:00,97242,35711
1970-01-01 06:00:00,94035,35514
1970-01-01 06:15:00,90385,35499
1970-01-01 06:30:00,94699,35595
1970-01-01 06:45:00,102727,35665
1970-01-01 07:00:00,102860,35679
1970-01-01 07:15:00,91987,35611
1970-01-01 07:30:00,87527,35481
1970-01-01 07:45:00,85461,35569
1970-01-01 08:00:00,84263,35565
1970-01-01 08:15:00,85015,35441
1970-01-01 08:30:00,90219,35545
1970-01-01 08:45:00,84883,35706
1970-01-01 09:00:00,78737,35482
1970-01-01 09:15:00,78737,35549
1970-01-01 09:30:00,143710,35451
1970-01-01 09:45:00,93077,35658
1970-01-01 10:00:00,96578,35550
1970-01-01 10:15:00,97391,35610
1970-01-01 10:30:00,104877,35465
1970-01-01 10:45:00,112372,35556
1970-01-01 11:00:00,106614,35588
1970-01-01 11:15:00,106624,35490
1970-01-01 11:30:00,108830,35536
1970-01-01 11:45:00,110020,35569
1970-01-01 12:00:00,100310,35455
1970-01-01 12:15:00,111379,35489
1970-01-01 12:30:00,118856,35550
1970-01-01 12:45:00,126201,35601
1970-01-01 13:00:00,129731,35539
1970-01-01 13:15:00,135656,35552
1970-01-01 13:30:00,138785,35466
1970-01-01 13:45:00,138962,35590
1970-01-01 14:00:00,145656,35660
1970-01-01 14:15:00,144162,35471
1970-01-01 14:30:00,142020,35640
1970-01-01 14:45:00,138466,35561
1970-01-01 15:00:00,140471,35529
1970-01-01 15:15:00,144190,35593
1970-01-01 15:30:00,145296,35680
1970-01-01 15:45:00,145673,35530
1970-01-01 16:00:00,148756,35636
1970-01-01 16:15:00,159274,35562
1970-01-01 16:30:00,171761,35497
1970-01-01 16:45:00,173212,35567
1970-01-01 17:00:00,169764,35401
1970-01-01 17:15:00,172907,35670
1970-01-01 17:30:00,170212,35623
1970-01-01 17:45:00,164510,35412
1970-01-01 18:00:00,158059,35669
1970-01-01 18:15:00,139932,35658
1970-01-01 18:30:00,144873,35570
1970-01-01 18:45:00,147920,35476
1970-01-01 19:00:00,150298,35476
1970-01-01 19:15:00,152967,35439
1970-01-01 19:30:00,149004,35555
1970-01-01 19:45:00,149234,35538
1970-01-01 20:00:00,152669,35553
1970-01-01 20:15:00,155824,35474
1970-01-01 20:30:00,161216,35480
1970-01-01 20:45:00,150908,35481
1970-01-01 21:00:00,141494,35330
1970-01-01 21:15:00,142542,35636
1970-01-01 21:30:00,150240,35647
1970-01-01 21:45:00,164617,35459
1970-01-01 22:00:00,172158,35610
1970-01-01 22:15:00,178536,35616
1970-01-01 22:30:00,182077,35665
1970-01-01 22:45:00,185513,35522
1970-01-01 23:00:00,188693,35640
1970-01-01 23:15:00,283267,35508
1970-01-01 23:30:00,209114,35590
1970-01-01 23:45:00,210082,35588
