datetime,app0,app1
1970-01-01 00:00:00,148614,325642
1970-01-01 01:00:00,161982,453903
1970-01-01 02:00:00,174723,487264
1970-01-01 03:00:00,187397,393279
1970-01-01 04:00:00,200586,401800
1970-01-01 05:00:00,213421,394046
1970-01-01 06:00:00,226277,381846
1970-01-01 07:00:00,239819,367835
1970-01-01 08:00:00,252392,344380
1970-01-01 09:00:00,265396,394261
1970-01-01 10:00:00,278168,411218
1970-01-01 11:00:00,291248,432088
1970-01-01 12:00:00,304062,456746
1970-01-01 13:00:00,317132,543134
1970-01-01 14:00:00,330500,570304
1970-01-01 15:00:00,343223,575630
1970-01-01 16:00:00,355925,653003
1970-01-01 17:00:00,369035,677393
1970-01-01 18:00:00,381838,590784
1970-01-01 19:00:00,395149,601503
1970-01-01 20:00:00,407431,620617
1970-01-01 21:00:00,420818,598893
1970-01-01 22:00:00,433555,718284
1970-01-01 23:00:00,446613,891156
