datetime,app0,app1
1970-01-01 00:00:00,36027,35566
1970-01-01 00:15:00,36716,35498
1970-01-01 00:30:00,37497,35426
1970-01-01 00:45:00,38374,35553
1970-01-01 01:00:00,39272,35496
1970-01-01 01:15:00,40093,35557
1970-01-01 01:30:00,40972,35487
1970-01-01 01:45:00,41645,35539
1970-01-01 02:00:00,42366,36790
1970-01-01 02:15:00,43331,58352
1970-01-01 02:30:00,44092,35554
1970-01-01 02:45:00,44934,35531
1970-01-01 03:00:00,45591,35542
1970-01-01 03:15:00,46463,35542
1970-01-01 03:30:00,47239,35555
1970-01-01 03:45:00,48104,35562
1970-01-01 04:00:00,48903,35463
1970-01-01 04:15:00,49704,35509
1970-01-01 04:30:00,50598,35567
1970-01-01 04:45:00,51381,35452
1970-01-01 05:00:00,52111,35635
1970-01-01 05:15:00,53017,35559
1970-01-01 05:30:00,53790,35441
1970-01-01 05:45:00,54503,35590
1970-01-01 06:00:00,55328,35599
1970-01-01 06:15:00,56203,35664
1970-01-01 06:30:00,56938,35546
1970-01-01 06:45:00,57808,35415
1970-01-01 07:00:00,58635,35469
1970-01-01 07:15:00,59616,35604
1970-01-01 07:30:00,60457,35461
1970-01-01 07:45:00,61111,35504
1970-01-01 08:00:00,61894,35489
1970-01-01 08:15:00,62701,35553
1970-01-01 08:30:00,63508,35603
1970-01-01 08:45:00,64289,35435
1970-01-01 09:00:00,65013,35603
1970-01-01 09:15:00,66016,35618
1970-01-01 09:30:00,66733,35577
1970-01-01 09:45:00,67634,35561
1970-01-01 10:00:00,68361,35439
1970-01-01 10:15:00,69114,35653
1970-01-01 10:30:00,69954,35606
1970-01-01 10:45:00,70739,35615
1970-01-01 11:00:00,71595,35494
1970-01-01 11:15:00,72333,35729
1970-01-01 11:30:00,73244,35467
1970-01-01 11:45:00,74076,35768
1970-01-01 12:00:00,74860,35451
1970-01-01 12:15:00,75600,35608
1970-01-01 12:30:00,76360,35562
1970-01-01 12:45:00,77242,35518
1970-01-01 13:00:00,78031,35629
1970-01-01 13:15:00,78913,35556
1970-01-01 13:30:00,79688,35584
1970-01-01 13:45:00,80500,35521
1970-01-01 14:00:00,81368,35567
1970-01-01 14:15:00,82281,35616
1970-01-01 14:30:00,83000,35484
1970-01-01 14:45:00,83851,35580
1970-01-01 15:00:00,84582,35597
1970-01-01 15:15:00,85456,35657
1970-01-01 15:30:00,86187,35651
1970-01-01 15:45:00,86998,35542
1970-01-01 16:00:00,87804,35615
1970-01-01 16:15:00,88656,35673
1970-01-01 16:30:00,89274,35546
1970-01-01 16:45:00,90191,35561
1970-01-01 17:00:00,90977,35394
1970-01-01 17:15:00,91847,35530
1970-01-01 17:30:00,92685,35630
1970-01-01 17:45:00,93526,35592
1970-01-01 18:00:00,94337,35419
1970-01-01 18:15:00,95006,35622
1970-01-01 18:30:00,95818,35535
1970-01-01 18:45:00,96677,35534
1970-01-01 19:00:00,97596,35566
1970-01-01 19:15:00,98443,35523
1970-01-01 19:30:00,99081,35482
1970-01-01 19:45:00,100029,35464
1970-01-01 20:00:00,100631,35545
1970-01-01 20:15:00,101446,35539
1970-01-01 20:30:00,102268,35405
1970-01-01 20:45:00,103086,35442
1970-01-01 21:00:00,103964,35555
1970-01-01 21:15:00,104796,35491
1970-01-01 21:30:00,105656,35618
1970-01-01 21:45:00,106402,35381
1970-01-01 22:00:00,107184,35419
1970-01-01 22:15:00,108000,35520
1970-01-01 22:30:00,108751,35586
1970-01-01 22:45:00,109620,35601
1970-01-01 23:00:00,110450,35611
1970-01-01 23:15:00,111129,35628
1970-01-01 23:30:00,112157,35629
1970-01-01 23:45:00,112877,35620
