datetime,app0,app1
1970-01-01 00:00:00,183600,180000
1970-01-01 01:00:00,205200,172800
1970-01-01 02:00:00,212400,176400
1970-01-01 03:00:00,223200,176400
1970-01-01 04:00:00,241200,180000
1970-01-01 05:00:00,248400,172800
1970-01-01 06:00:00,259200,176400
1970-01-01 07:00:00,273600,172800
1970-01-01 08:00:00,288000,183600
1970-01-01 09:00:00,298800,176400
1970-01-01 10:00:00,309600,176400
1970-01-01 11:00:00,324000,176400
1970-01-01 12:00:00,334800,180000
1970-01-01 13:00:00,352800,169200
1970-01-01 14:00:00,367200,176400
1970-01-01 15:00:00,385200,172800
1970-01-01 16:00:00,388800,176400
1970-01-01 17:00:00,414000,172800
1970-01-01 18:00:00,414000,176400
1970-01-01 19:00:00,435600,176400
1970-01-01 20:00:00,442800,176400
1970-01-01 21:00:00,457200,176400
1970-01-01 22:00:00,471600,176400
1970-01-01 23:00:00,486000,172800
