datetime,app0,app1
1970-01-01 00:00:00,148614,142095
1970-01-01 01:00:00,161982,142176
1970-01-01 02:00:00,174723,142308
1970-01-01 03:00:00,187397,142134
1970-01-01 04:00:00,200586,142230
1970-01-01 05:00:00,213421,142337
1970-01-01 06:00:00,226277,142273
1970-01-01 07:00:00,239819,142340
1970-01-01 08:00:00,252392,142257
1970-01-01 09:00:00,265396,142140
1970-01-01 10:00:00,278168,142181
1970-01-01 11:00:00,291248,142183
1970-01-01 12:00:00,304062,142095
1970-01-01 13:00:00,317132,142147
1970-01-01 14:00:00,330500,142332
1970-01-01 15:00:00,343223,142332
1970-01-01 16:00:00,355925,142262
1970-01-01 17:00:00,369035,142106
1970-01-01 18:00:00,381838,142373
1970-01-01 19:00:00,395149,142008
1970-01-01 20:00:00,407431,141988
1970-01-01 21:00:00,420818,142072
1970-01-01 22:00:00,433555,142413
1970-01-01 23:00:00,446613,142326
