datetime,app0,app1
1970-01-01 00:00:00,148614,532737
1970-01-01 01:00:00,161982,526947
1970-01-01 02:00:00,174723,598708
1970-01-01 03:00:00,187397,573808
1970-01-01 04:00:00,200586,600010
1970-01-01 05:00:00,213421,631078
1970-01-01 06:00:00,226277,536767
1970-01-01 07:00:00,239819,465324
1970-01-01 08:00:00,252392,460273
1970-01-01 09:00:00,265396,363644
1970-01-01 10:00:00,278168,332307
1970-01-01 11:00:00,291248,406604
1970-01-01 12:00:00,304062,430381
1970-01-01 13:00:00,317132,456303
1970-01-01 14:00:00,330500,482315
1970-01-01 15:00:00,343223,481381
1970-01-01 16:00:00,355925,389449
1970-01-01 17:00:00,369035,414104
1970-01-01 18:00:00,381838,445991
1970-01-01 19:00:00,395149,426006
1970-01-01 20:00:00,407431,430011
1970-01-01 21:00:00,420818,417677
1970-01-01 22:00:00,433555,399121
1970-01-01 23:00:00,446613,473525
