datetime,app0,app1
1970-01-01 00:00:00,35566,35505
1970-01-01 00:15:00,35498,35528
1970-01-01 00:30:00,35426,35697
1970-01-01 00:45:00,35553,35365
1970-01-01 01:00:00,35496,35458
1970-01-01 01:15:00,35557,35691
1970-01-01 01:30:00,35487,35499
1970-01-01 01:45:00,35539,35528
1970-01-01 02:00:00,36790,35661
1970-01-01 02:15:00,58352,35600
1970-01-01 02:30:00,35554,35439
1970-01-01 02:45:00,35531,35608
1970-01-01 03:00:00,35542,35596
1970-01-01 03:15:00,35542,35368
1970-01-01 03:30:00,35555,35556
1970-01-01 03:45:00,35562,35614
1970-01-01 04:00:00,35463,35606
1970-01-01 04:15:00,35509,35506
1970-01-01 04:30:00,35567,35516
1970-01-01 04:45:00,35452,35602
1970-01-01 05:00:00,35635,35554
1970-01-01 05:15:00,35559,35481
1970-01-01 05:30:00,35441,35591
1970-01-01 05:45:00,35590,35711
1970-01-01 06:00:00,35599,35514
1970-01-01 06:15:00,35664,35499
1970-01-01 06:30:00,35546,35595
1970-01-01 06:45:00,35415,35665
1970-01-01 07:00:00,35469,35679
1970-01-01 07:15:00,35604,35611
1970-01-01 07:30:00,35461,35481
1970-01-01 07:45:00,35504,35569
1970-01-01 08:00:00,35489,35565
1970-01-01 08:15:00,35553,35441
1970-01-01 08:30:00,35603,35545
1970-01-01 08:45:00,35435,35706
1970-01-01 09:00:00,35603,35482
1970-01-01 09:15:00,35618,35549
1970-01-01 09:30:00,35577,35451
1970-01-01 09:45:00,35561,35658
1970-01-01 10:00:00,35439,35550
1970-01-01 10:15:00,35653,35610
1970-01-01 10:30:00,35606,35465
1970-01-01 10:45:00,35615,35556
1970-01-01 11:00:00,35494,35588
1970-01-01 11:15:00,35729,35490
1970-01-01 11:30:00,35467,35536
1970-01-01 11:45:00,35768,35569
1970-01-01 12:00:00,35451,35455
1970-01-01 12:15:00,35608,35489
1970-01-01 12:30:00,35562,35550
1970-01-01 12:45:00,35518,35601
1970-01-01 13:00:00,35629,35539
1970-01-01 13:15:00,35556,35552
1970-01-01 13:30:00,35584,35466
1970-01-01 13:45:00,35521,35590
1970-01-01 14:00:00,35567,35660
1970-01-01 14:15:00,35616,35471
1970-01-01 14:30:00,35484,35640
1970-01-01 14:45:00,35580,35561
1970-01-01 15:00:00,35597,35529
1970-01-01 15:15:00,35657,35593
1970-01-01 15:30:00,35651,35680
1970-01-01 15:45:00,35542,35530
1970-01-01 16:00:00,35615,35636
1970-01-01 16:15:00,35673,35562
1970-01-01 16:30:00,35546,35497
1970-01-01 16:45:00,35561,35567
1970-01-01 17:00:00,35394,35401
1970-01-01 17:15:00,35530,35670
1970-01-01 17:30:00,35630,35623
1970-01-01 17:45:00,35592,35412
1970-01-01 18:00:00,35419,35669
1970-01-01 18:15:00,35622,35658
1970-01-01 18:30:00,35535,35570
1970-01-01 18:45:00,35534,35476
1970-01-01 19:00:00,35566,35476
1970-01-01 19:15:00,35523,35439
1970-01-01 19:30:00,35482,35555
1970-01-01 19:45:00,35464,35538
1970-01-01 20:00:00,35545,35553
1970-01-01 20:15:00,35539,35474
1970-01-01 20:30:00,35405,35480
1970-01-01 20:45:00,35442,35481
1970-01-01 21:00:00,35555,35330
1970-01-01 21:15:00,35491,35636
1970-01-01 21:30:00,35618,35647
1970-01-01 21:45:00,35381,35459
1970-01-01 22:00:00,35419,35610
1970-01-01 22:15:00,35520,35616
1970-01-01 22:30:00,35586,35665
1970-01-01 22:45:00,35601,35522
1970-01-01 23:00:00,35611,35640
1970-01-01 23:15:00,35628,35508
1970-01-01 23:30:00,35629,35590
1970-01-01 23:45:00,35620,35588
