datetime,app0,app1
1970-01-01 00:00:00,44100,82800
1970-01-01 00:15:00,45900,100800
1970-01-01 00:30:00,48600,90900
1970-01-01 00:45:00,48600,99000
1970-01-01 01:00:00,51300,115200
1970-01-01 01:15:00,52200,131400
1970-01-01 01:30:00,54000,131400
1970-01-01 01:45:00,54000,122400
1970-01-01 02:00:00,56700,132300
1970-01-01 02:15:00,57600,138600
1970-01-01 02:30:00,57600,132300
1970-01-01 02:45:00,56700,126000
1970-01-01 03:00:00,55800,117900
1970-01-01 03:15:00,57600,110700
1970-01-01 03:30:00,55800,107100
1970-01-01 03:45:00,55800,108000
1970-01-01 04:00:00,54000,114300
1970-01-01 04:15:00,54900,106200
1970-01-01 04:30:00,52200,109800
1970-01-01 04:45:00,52200,111600
1970-01-01 05:00:00,49500,108900
1970-01-01 05:15:00,47700,107100
1970-01-01 05:30:00,44100,104400
1970-01-01 05:45:00,44100,108000
1970-01-01 06:00:00,42300,104400
1970-01-01 06:15:00,41400,100800
1970-01-01 06:30:00,38700,105300
1970-01-01 06:45:00,36000,113400
1970-01-01 07:00:00,36900,112500
1970-01-01 07:15:00,32400,100800
1970-01-01 07:30:00,31500,95400
1970-01-01 07:45:00,31500,95400
1970-01-01 08:00:00,31500,98100
1970-01-01 08:15:00,31500,95400
1970-01-01 08:30:00,28800,99900
1970-01-01 08:45:00,28800,101700
1970-01-01 09:00:00,28800,88200
1970-01-01 09:15:00,29700,92700
1970-01-01 09:30:00,28800,262800
1970-01-01 09:45:00,30600,102600
1970-01-01 10:00:00,31500,107100
1970-01-01 10:15:00,32400,105300
1970-01-01 10:30:00,33300,116100
1970-01-01 10:45:00,35100,118800
1970-01-01 11:00:00,37800,117900
1970-01-01 11:15:00,39600,115200
1970-01-01 11:30:00,42300,117000
1970-01-01 11:45:00,42300,119700
1970-01-01 12:00:00,45000,110700
1970-01-01 12:15:00,46800,127800
1970-01-01 12:30:00,47700,127800
1970-01-01 12:45:00,50400,136800
1970-01-01 13:00:00,51300,136800
1970-01-01 13:15:00,52200,145800
1970-01-01 13:30:00,54900,151200
1970-01-01 13:45:00,55800,150300
1970-01-01 14:00:00,57600,153900
1970-01-01 14:15:00,57600,153900
1970-01-01 14:30:00,58500,153000
1970-01-01 14:45:00,56700,146700
1970-01-01 15:00:00,56700,148500
1970-01-01 15:15:00,58500,153000
1970-01-01 15:30:00,55800,154800
1970-01-01 15:45:00,57600,157500
1970-01-01 16:00:00,56700,160200
1970-01-01 16:15:00,55800,169200
1970-01-01 16:30:00,54900,181800
1970-01-01 16:45:00,50400,180900
1970-01-01 17:00:00,49500,180000
1970-01-01 17:15:00,46800,181800
1970-01-01 17:30:00,45900,179100
1970-01-01 17:45:00,45000,174600
1970-01-01 18:00:00,42300,168300
1970-01-01 18:15:00,41400,156600
1970-01-01 18:30:00,37800,155700
1970-01-01 18:45:00,36900,159300
1970-01-01 19:00:00,35100,159300
1970-01-01 19:15:00,34200,165600
1970-01-01 19:30:00,33300,158400
1970-01-01 19:45:00,30600,158400
1970-01-01 20:00:00,28800,163800
1970-01-01 20:15:00,30600,163800
1970-01-01 20:30:00,31500,169200
1970-01-01 20:45:00,27900,164700
1970-01-01 21:00:00,28800,155700
1970-01-01 21:15:00,30600,152100
1970-01-01 21:30:00,28800,162000
1970-01-01 21:45:00,29700,174600
1970-01-01 22:00:00,32400,186300
1970-01-01 22:15:00,32400,188100
1970-01-01 22:30:00,33300,192600
1970-01-01 22:45:00,35100,197100
1970-01-01 23:00:00,36900,198900
1970-01-01 23:15:00,38700,486900
1970-01-01 23:30:00,39600,486000
1970-01-01 23:45:00,45000,224100
