datetime,app0,app1
1970-01-01 00:00:00,36520,74512
1970-01-01 00:15:00,38420,83969
1970-01-01 00:30:00,40254,81891
1970-01-01 00:45:00,41971,85270
1970-01-01 01:00:00,43556,99931
1970-01-01 01:15:00,44990,119619
1970-01-01 01:30:00,46259,120913
1970-01-01 01:45:00,47481,113440
1970-01-01 02:00:00,48371,120866
1970-01-01 02:15:00,49272,128730
1970-01-01 02:30:00,49498,123049
1970-01-01 02:45:00,49852,114619
1970-01-01 03:00:00,49747,105159
1970-01-01 03:15:00,49617,96605
1970-01-01 03:30:00,49059,96902
1970-01-01 03:45:00,48415,94613
1970-01-01 04:00:00,47460,102567
1970-01-01 04:15:00,46484,98473
1970-01-01 04:30:00,45135,99231
1970-01-01 04:45:00,43571,101529
1970-01-01 05:00:00,41842,99981
1970-01-01 05:15:00,40235,98906
1970-01-01 05:30:00,38269,97917
1970-01-01 05:45:00,36502,97242
1970-01-01 06:00:00,34679,94035
1970-01-01 06:15:00,32523,90385
1970-01-01 06:30:00,30885,94699
1970-01-01 06:45:00,29121,102727
1970-01-01 07:00:00,27608,102860
1970-01-01 07:15:00,25918,91987
1970-01-01 07:30:00,24904,87527
1970-01-01 07:45:00,23626,85461
1970-01-01 08:00:00,22666,84263
1970-01-01 08:15:00,21838,85015
1970-01-01 08:30:00,21532,90219
1970-01-01 08:45:00,21169,84883
1970-01-01 09:00:00,21189,78737
1970-01-01 09:15:00,21405,78737
1970-01-01 09:30:00,21975,143710
1970-01-01 09:45:00,22572,93077
1970-01-01 10:00:00,23488,96578
1970-01-01 10:15:00,24924,97391
1970-01-01 10:30:00,26063,104877
1970-01-01 10:45:00,27698,112372
1970-01-01 11:00:00,29318,106614
1970-01-01 11:15:00,30896,106624
1970-01-01 11:30:00,32693,108830
1970-01-01 11:45:00,34539,110020
1970-01-01 12:00:00,36510,100310
1970-01-01 12:15:00,38395,111379
1970-01-01 12:30:00,40309,118856
1970-01-01 12:45:00,41984,126201
1970-01-01 13:00:00,43572,129731
1970-01-01 13:15:00,45075,135656
1970-01-01 13:30:00,46394,138785
1970-01-01 13:45:00,47581,138962
1970-01-01 14:00:00,48398,145656
1970-01-01 14:15:00,49243,144162
1970-01-01 14:30:00,49728,142020
1970-01-01 14:45:00,49783,138466
1970-01-01 15:00:00,49801,140471
1970-01-01 15:15:00,49803,144190
1970-01-01 15:30:00,49301,145296
1970-01-01 15:45:00,48391,145673
1970-01-01 16:00:00,47553,148756
1970-01-01 16:15:00,46394,159274
1970-01-01 16:30:00,44996,171761
1970-01-01 16:45:00,43645,173212
1970-01-01 17:00:00,41971,169764
1970-01-01 17:15:00,40188,172907
1970-01-01 17:30:00,38311,170212
1970-01-01 17:45:00,36462,164510
1970-01-01 18:00:00,34628,158059
1970-01-01 18:15:00,32693,139932
1970-01-01 18:30:00,30959,144873
1970-01-01 18:45:00,29070,147920
1970-01-01 19:00:00,27434,150298
1970-01-01 19:15:00,25909,152967
1970-01-01 19:30:00,24815,149004
1970-01-01 19:45:00,23571,149234
1970-01-01 20:00:00,22630,152669
1970-01-01 20:15:00,21873,155824
1970-01-01 20:30:00,21377,161216
1970-01-01 20:45:00,21260,150908
1970-01-01 21:00:00,21261,141494
1970-01-01 21:15:00,21515,142542
1970-01-01 21:30:00,21957,150240
1970-01-01 21:45:00,22707,164617
1970-01-01 22:00:00,23389,172158
1970-01-01 22:15:00,24742,178536
1970-01-01 22:30:00,26157,182077
1970-01-01 22:45:00,27448,185513
1970-01-01 23:00:00,29166,188693
1970-01-01 23:15:00,30815,283267
1970-01-01 23:30:00,32794,209114
1970-01-01 23:45:00,34588,210082
