datetime,app0,app1
1970-01-01 00:00:00,157165,142043
1970-01-01 01:00:00,182286,142079
1970-01-01 02:00:00,196993,166227
1970-01-01 03:00:00,196838,142201
1970-01-01 04:00:00,182650,141991
1970-01-01 05:00:00,156848,142225
1970-01-01 06:00:00,127208,142224
1970-01-01 07:00:00,102056,142038
1970-01-01 08:00:00,87205,142080
1970-01-01 09:00:00,87141,142359
1970-01-01 10:00:00,102173,142313
1970-01-01 11:00:00,127446,142458
1970-01-01 12:00:00,157198,142139
1970-01-01 13:00:00,182622,142290
1970-01-01 14:00:00,197152,142247
1970-01-01 15:00:00,197296,142447
1970-01-01 16:00:00,182588,142395
1970-01-01 17:00:00,156932,142146
1970-01-01 18:00:00,127350,142110
1970-01-01 19:00:00,101729,142035
1970-01-01 20:00:00,87140,141931
1970-01-01 21:00:00,87440,142045
1970-01-01 22:00:00,101736,142126
1970-01-01 23:00:00,127363,142488
