datetime,app0,app1
1970-01-01 00:00:00,157165,142095
1970-01-01 01:00:00,182286,142176
1970-01-01 02:00:00,196993,142308
1970-01-01 03:00:00,196838,142134
1970-01-01 04:00:00,182650,142230
1970-01-01 05:00:00,156848,142337
1970-01-01 06:00:00,127208,142273
1970-01-01 07:00:00,102056,142340
1970-01-01 08:00:00,87205,142257
1970-01-01 09:00:00,87141,142140
1970-01-01 10:00:00,102173,142181
1970-01-01 11:00:00,127446,142183
1970-01-01 12:00:00,157198,142095
1970-01-01 13:00:00,182622,142147
1970-01-01 14:00:00,197152,142332
1970-01-01 15:00:00,197296,142332
1970-01-01 16:00:00,182588,142262
1970-01-01 17:00:00,156932,142106
1970-01-01 18:00:00,127350,142373
1970-01-01 19:00:00,101729,142008
1970-01-01 20:00:00,87140,141988
1970-01-01 21:00:00,87440,142072
1970-01-01 22:00:00,101736,142413
1970-01-01 23:00:00,127363,142326
