datetime,app0,app1
1970-01-01 00:00:00,157165,532737
1970-01-01 01:00:00,182286,526947
1970-01-01 02:00:00,196993,598708
1970-01-01 03:00:00,196838,573808
1970-01-01 04:00:00,182650,600010
1970-01-01 05:00:00,156848,631078
1970-01-01 06:00:00,127208,536767
1970-01-01 07:00:00,102056,465324
1970-01-01 08:00:00,87205,460273
1970-01-01 09:00:00,87141,363644
1970-01-01 10:00:00,102173,332307
1970-01-01 11:00:00,127446,406604
1970-01-01 12:00:00,157198,430381
1970-01-01 13:00:00,182622,456303
1970-01-01 14:00:00,197152,482315
1970-01-01 15:00:00,197296,481381
1970-01-01 16:00:00,182588,389449
1970-01-01 17:00:00,156932,414104
1970-01-01 18:00:00,127350,445991
1970-01-01 19:00:00,101729,426006
1970-01-01 20:00:00,87140,430011
1970-01-01 21:00:00,87440,417677
1970-01-01 22:00:00,101736,399121
1970-01-01 23:00:00,127363,473525
