datetime,app0,app1
1970-01-01 00:00:00,47207,24993
1970-01-01 00:05:00,47302,24762
1970-01-01 00:10:00,45517,24757
1970-01-01 00:15:00,44415,25689
1970-01-01 00:20:00,44227,27627
1970-01-01 00:25:00,45461,30653
1970-01-01 00:30:00,44402,27264
1970-01-01 00:35:00,43154,26909
1970-01-01 00:40:00,42154,27718
1970-01-01 00:45:00,43076,27442
1970-01-01 00:50:00,42260,27712
1970-01-01 00:55:00,43562,30116
1970-01-01 01:00:00,43516,32201
1970-01-01 01:05:00,42761,33503
1970-01-01 01:10:00,42399,34227
1970-01-01 01:15:00,41273,37828
1970-01-01 01:20:00,40169,40218
1970-01-01 01:25:00,41542,41573
1970-01-01 01:30:00,43033,41588
1970-01-01 01:35:00,44080,40935
1970-01-01 01:40:00,44743,38390
1970-01-01 01:45:00,45844,37299
1970-01-01 01:50:00,48229,38616
1970-01-01 01:55:00,49358,37525
1970-01-01 02:00:00,49913,38985
1970-01-01 02:05:00,49059,40107
1970-01-01 02:10:00,49618,41774
1970-01-01 02:15:00,50089,43233
1970-01-01 02:20:00,50291,43000
1970-01-01 02:25:00,50296,42497
1970-01-01 02:30:00,51071,41291
1970-01-01 02:35:00,49436,41408
1970-01-01 02:40:00,49154,40350
1970-01-01 02:45:00,50574,39265
1970-01-01 02:50:00,49912,37855
1970-01-01 02:55:00,49295,37499
1970-01-01 03:00:00,49706,36269
1970-01-01 03:05:00,48584,34959
1970-01-01 03:10:00,47713,33931
1970-01-01 03:15:00,46838,33672
1970-01-01 03:20:00,47755,31022
1970-01-01 03:25:00,46695,31911
1970-01-01 03:30:00,46571,33176
1970-01-01 03:35:00,46676,32673
1970-01-01 03:40:00,46913,31053
1970-01-01 03:45:00,47998,30501
1970-01-01 03:50:00,48627,30959
1970-01-01 03:55:00,49732,33153
1970-01-01 04:00:00,49598,34178
1970-01-01 04:05:00,47991,34680
1970-01-01 04:10:00,48599,33709
1970-01-01 04:15:00,48808,32724
1970-01-01 04:20:00,49563,33015
1970-01-01 04:25:00,49243,32734
1970-01-01 04:30:00,50286,32228
1970-01-01 04:35:00,51449,33066
1970-01-01 04:40:00,51781,33937
1970-01-01 04:45:00,51641,34530
1970-01-01 04:50:00,51173,33705
1970-01-01 04:55:00,49878,33294
1970-01-01 05:00:00,50821,33580
1970-01-01 05:05:00,52281,33068
1970-01-01 05:10:00,52233,33333
1970-01-01 05:15:00,52043,33106
1970-01-01 05:20:00,53219,33379
1970-01-01 05:25:00,54953,32421
1970-01-01 05:30:00,54459,32538
1970-01-01 05:35:00,53252,32736
1970-01-01 05:40:00,51824,32643
1970-01-01 05:45:00,51418,33216
1970-01-01 05:50:00,52852,32550
1970-01-01 05:55:00,51723,31476
1970-01-01 06:00:00,49981,31933
1970-01-01 06:05:00,48702,31148
1970-01-01 06:10:00,46824,30954
1970-01-01 06:15:00,45346,30039
1970-01-01 06:20:00,44075,30428
1970-01-01 06:25:00,44556,29918
1970-01-01 06:30:00,43786,30794
1970-01-01 06:35:00,44422,31406
1970-01-01 06:40:00,42750,32499
1970-01-01 06:45:00,42038,32674
1970-01-01 06:50:00,42178,34591
1970-01-01 06:55:00,42109,35462
1970-01-01 07:00:00,40563,35202
1970-01-01 07:05:00,41565,34619
1970-01-01 07:10:00,41128,33039
1970-01-01 07:15:00,40586,31083
1970-01-01 07:20:00,39910,30661
1970-01-01 07:25:00,39153,30243
1970-01-01 07:30:00,37491,29358
1970-01-01 07:35:00,37201,29405
1970-01-01 07:40:00,36677,28764
1970-01-01 07:45:00,36421,27425
1970-01-01 07:50:00,37225,29344
1970-01-01 07:55:00,37404,28692
1970-01-01 08:00:00,37719,28344
1970-01-01 08:05:00,37628,28584
1970-01-01 08:10:00,38475,27335
1970-01-01 08:15:00,39725,28435
1970-01-01 08:20:00,40630,28653
1970-01-01 08:25:00,39655,27927
1970-01-01 08:30:00,38957,29106
1970-01-01 08:35:00,39183,30477
1970-01-01 08:40:00,37952,30636
1970-01-01 08:45:00,36903,30619
