datetime,app0,app1
1970-01-01 00:00:00,576000,403200
1970-01-01 01:00:00,604800,525600
1970-01-01 02:00:00,622800,554400
1970-01-01 03:00:00,604800,471600
1970-01-01 04:00:00,633600,457200
1970-01-01 05:00:00,669600,435600
1970-01-01 06:00:00,608400,453600
1970-01-01 07:00:00,507600,450000
1970-01-01 08:00:00,500400,406800
1970-01-01 09:00:00,432000,1051200
1970-01-01 10:00:00,374400,475200
1970-01-01 11:00:00,486000,478800
1970-01-01 12:00:00,457200,547200
1970-01-01 13:00:00,486000,604800
1970-01-01 14:00:00,507600,615600
1970-01-01 15:00:00,525600,630000
1970-01-01 16:00:00,450000,727200
1970-01-01 17:00:00,446400,727200
1970-01-01 18:00:00,496800,673200
1970-01-01 19:00:00,457200,662400
1970-01-01 20:00:00,460800,676800
1970-01-01 21:00:00,460800,698400
1970-01-01 22:00:00,460800,788400
1970-01-01 23:00:00,500400,1947600
