datetime,app0,app1
1970-01-01 00:00:00,532737,142043
1970-01-01 01:00:00,526947,142079
1970-01-01 02:00:00,598708,166227
1970-01-01 03:00:00,573808,142201
1970-01-01 04:00:00,600010,141991
1970-01-01 05:00:00,631078,142225
1970-01-01 06:00:00,536767,142224
1970-01-01 07:00:00,465324,142038
1970-01-01 08:00:00,460273,142080
1970-01-01 09:00:00,363644,142359
1970-01-01 10:00:00,332307,142313
1970-01-01 11:00:00,406604,142458
1970-01-01 12:00:00,430381,142139
1970-01-01 13:00:00,456303,142290
1970-01-01 14:00:00,482315,142247
1970-01-01 15:00:00,481381,142447
1970-01-01 16:00:00,389449,142395
1970-01-01 17:00:00,414104,142146
1970-01-01 18:00:00,445991,142110
1970-01-01 19:00:00,426006,142035
1970-01-01 20:00:00,430011,141931
1970-01-01 21:00:00,417677,142045
1970-01-01 22:00:00,399121,142126
1970-01-01 23:00:00,473525,142488
