datetime,app0,app1
1970-01-01 00:00:00,47207,11782
1970-01-01 00:05:00,47302,11865
1970-01-01 00:10:00,45517,11858
1970-01-01 00:15:00,44415,11797
1970-01-01 00:20:00,44227,11861
1970-01-01 00:25:00,45461,11870
1970-01-01 00:30:00,44402,11863
1970-01-01 00:35:00,43154,11964
1970-01-01 00:40:00,42154,11870
1970-01-01 00:45:00,43076,11804
1970-01-01 00:50:00,42260,11713
1970-01-01 00:55:00,43562,11848
1970-01-01 01:00:00,43516,11762
1970-01-01 01:05:00,42761,11905
1970-01-01 01:10:00,42399,11791
1970-01-01 01:15:00,41273,12030
1970-01-01 01:20:00,40169,11851
1970-01-01 01:25:00,41542,11810
1970-01-01 01:30:00,43033,11833
1970-01-01 01:35:00,44080,11908
1970-01-01 01:40:00,44743,11758
1970-01-01 01:45:00,45844,11825
1970-01-01 01:50:00,48229,11858
1970-01-01 01:55:00,49358,11845
1970-01-01 02:00:00,49913,11925
1970-01-01 02:05:00,49059,11905
1970-01-01 02:10:00,49618,11831
1970-01-01 02:15:00,50089,11902
1970-01-01 02:20:00,50291,11832
1970-01-01 02:25:00,50296,11866
1970-01-01 02:30:00,51071,11754
1970-01-01 02:35:00,49436,11818
1970-01-01 02:40:00,49154,11867
1970-01-01 02:45:00,50574,11868
1970-01-01 02:50:00,49912,11918
1970-01-01 02:55:00,49295,11822
1970-01-01 03:00:00,49706,11823
1970-01-01 03:05:00,48584,11821
1970-01-01 03:10:00,47713,11952
1970-01-01 03:15:00,46838,11822
1970-01-01 03:20:00,47755,11731
1970-01-01 03:25:00,46695,11815
1970-01-01 03:30:00,46571,11827
1970-01-01 03:35:00,46676,11869
1970-01-01 03:40:00,46913,11860
1970-01-01 03:45:00,47998,11887
1970-01-01 03:50:00,48627,11867
1970-01-01 03:55:00,49732,11860
1970-01-01 04:00:00,49598,11824
1970-01-01 04:05:00,47991,11910
1970-01-01 04:10:00,48599,11872
1970-01-01 04:15:00,48808,11829
1970-01-01 04:20:00,49563,11842
1970-01-01 04:25:00,49243,11835
1970-01-01 04:30:00,50286,11838
1970-01-01 04:35:00,51449,11857
1970-01-01 04:40:00,51781,11821
1970-01-01 04:45:00,51641,11835
1970-01-01 04:50:00,51173,11873
1970-01-01 04:55:00,49878,11894
1970-01-01 05:00:00,50821,11830
1970-01-01 05:05:00,52281,11841
