,reqs
1970-01-01 00:00:00,114300
1970-01-01 00:15:00,113400
1970-01-01 00:30:00,112500
1970-01-01 00:45:00,110700
1970-01-01 01:00:00,112500
1970-01-01 01:15:00,111600
1970-01-01 01:30:00,110700
1970-01-01 01:45:00,109800
1970-01-01 02:00:00,107100
1970-01-01 02:15:00,108000
1970-01-01 02:30:00,106200
1970-01-01 02:45:00,106200
1970-01-01 03:00:00,104400
1970-01-01 03:15:00,103500
1970-01-01 03:30:00,104400
1970-01-01 03:45:00,101700
1970-01-01 04:00:00,101700
1970-01-01 04:15:00,99900
1970-01-01 04:30:00,100800
1970-01-01 04:45:00,99900
1970-01-01 05:00:00,99000
1970-01-01 05:15:00,97200
1970-01-01 05:30:00,98100
1970-01-01 05:45:00,95400
1970-01-01 06:00:00,96300
1970-01-01 06:15:00,96300
1970-01-01 06:30:00,94500
1970-01-01 06:45:00,93600
1970-01-01 07:00:00,91800
1970-01-01 07:15:00,90900
1970-01-01 07:30:00,90000
1970-01-01 07:45:00,89100
1970-01-01 08:00:00,90000
1970-01-01 08:15:00,87300
1970-01-01 08:30:00,87300
1970-01-01 08:45:00,86400
1970-01-01 09:00:00,86400
1970-01-01 09:15:00,85500
1970-01-01 09:30:00,83700
1970-01-01 09:45:00,84600
1970-01-01 10:00:00,81900
1970-01-01 10:15:00,81900
1970-01-01 10:30:00,81900
1970-01-01 10:45:00,79200
1970-01-01 11:00:00,80100
1970-01-01 11:15:00,78300
1970-01-01 11:30:00,78300
1970-01-01 11:45:00,76500
1970-01-01 12:00:00,75600
1970-01-01 12:15:00,75600
1970-01-01 12:30:00,75600
1970-01-01 12:45:00,72900
1970-01-01 13:00:00,74700
1970-01-01 13:15:00,72000
1970-01-01 13:30:00,71100
1970-01-01 13:45:00,70200
1970-01-01 14:00:00,70200
1970-01-01 14:15:00,68400
1970-01-01 14:30:00,67500
1970-01-01 14:45:00,67500
1970-01-01 15:00:00,65700
1970-01-01 15:15:00,65700
1970-01-01 15:30:00,63900
1970-01-01 15:45:00,63000
1970-01-01 16:00:00,63000
1970-01-01 16:15:00,62100
1970-01-01 16:30:00,62100
1970-01-01 16:45:00,61200
1970-01-01 17:00:00,58500
1970-01-01 17:15:00,59400
1970-01-01 17:30:00,57600
1970-01-01 17:45:00,56700
1970-01-01 18:00:00,55800
1970-01-01 18:15:00,55800
1970-01-01 18:30:00,55800
1970-01-01 18:45:00,55800
1970-01-01 19:00:00,55800
1970-01-01 19:15:00,53100
1970-01-01 19:30:00,52200
1970-01-01 19:45:00,52200
1970-01-01 20:00:00,49500
1970-01-01 20:15:00,50400
1970-01-01 20:30:00,47700
1970-01-01 20:45:00,49500
1970-01-01 21:00:00,46800
1970-01-01 21:15:00,45900
1970-01-01 21:30:00,45900
1970-01-01 21:45:00,43200
1970-01-01 22:00:00,45000
1970-01-01 22:15:00,44100
1970-01-01 22:30:00,42300
1970-01-01 22:45:00,42300
1970-01-01 23:00:00,40500
1970-01-01 23:15:00,39600
1970-01-01 23:30:00,38700
1970-01-01 23:45:00,38700
