,reqs
1970-01-01 00:00:00,423640
1970-01-01 01:00:00,410831
1970-01-01 02:00:00,397555
1970-01-01 03:00:00,384780
1970-01-01 04:00:00,372043
1970-01-01 05:00:00,358918
1970-01-01 06:00:00,346064
1970-01-01 07:00:00,332987
1970-01-01 08:00:00,319937
1970-01-01 09:00:00,307113
1970-01-01 10:00:00,293970
1970-01-01 11:00:00,281073
1970-01-01 12:00:00,268474
1970-01-01 13:00:00,255525
1970-01-01 14:00:00,242178
1970-01-01 15:00:00,229239
1970-01-01 16:00:00,216296
1970-01-01 17:00:00,203411
1970-01-01 18:00:00,190331
1970-01-01 19:00:00,177410
1970-01-01 20:00:00,164815
1970-01-01 21:00:00,151640
1970-01-01 22:00:00,138560
1970-01-01 23:00:00,125371
