,reqs
1970-01-01 00:00:00,403200
1970-01-01 01:00:00,525600
1970-01-01 02:00:00,554400
1970-01-01 03:00:00,471600
1970-01-01 04:00:00,457200
1970-01-01 05:00:00,435600
1970-01-01 06:00:00,453600
1970-01-01 07:00:00,450000
1970-01-01 08:00:00,406800
1970-01-01 09:00:00,1051200
1970-01-01 10:00:00,475200
1970-01-01 11:00:00,478800
1970-01-01 12:00:00,547200
1970-01-01 13:00:00,604800
1970-01-01 14:00:00,615600
1970-01-01 15:00:00,630000
1970-01-01 16:00:00,727200
1970-01-01 17:00:00,727200
1970-01-01 18:00:00,673200
1970-01-01 19:00:00,662400
1970-01-01 20:00:00,676800
1970-01-01 21:00:00,698400
1970-01-01 22:00:00,788400
1970-01-01 23:00:00,1947600
