,reqs
1970-01-01 00:00:00,74512
1970-01-01 00:15:00,83969
1970-01-01 00:30:00,81891
1970-01-01 00:45:00,85270
1970-01-01 01:00:00,99931
1970-01-01 01:15:00,119619
1970-01-01 01:30:00,120913
1970-01-01 01:45:00,113440
1970-01-01 02:00:00,120866
1970-01-01 02:15:00,128730
1970-01-01 02:30:00,123049
1970-01-01 02:45:00,114619
1970-01-01 03:00:00,105159
1970-01-01 03:15:00,96605
1970-01-01 03:30:00,96902
1970-01-01 03:45:00,94613
1970-01-01 04:00:00,102567
1970-01-01 04:15:00,98473
1970-01-01 04:30:00,99231
1970-01-01 04:45:00,101529
1970-01-01 05:00:00,99981
1970-01-01 05:15:00,98906
1970-01-01 05:30:00,97917
1970-01-01 05:45:00,97242
1970-01-01 06:00:00,94035
1970-01-01 06:15:00,90385
1970-01-01 06:30:00,94699
1970-01-01 06:45:00,102727
1970-01-01 07:00:00,102860
1970-01-01 07:15:00,91987
1970-01-01 07:30:00,87527
1970-01-01 07:45:00,85461
1970-01-01 08:00:00,84263
1970-01-01 08:15:00,85015
1970-01-01 08:30:00,90219
1970-01-01 08:45:00,84883
1970-01-01 09:00:00,78737
1970-01-01 09:15:00,78737
1970-01-01 09:30:00,143710
1970-01-01 09:45:00,93077
1970-01-01 10:00:00,96578
1970-01-01 10:15:00,97391
1970-01-01 10:30:00,104877
1970-01-01 10:45:00,112372
1970-01-01 11:00:00,106614
1970-01-01 11:15:00,106624
1970-01-01 11:30:00,108830
1970-01-01 11:45:00,110020
1970-01-01 12:00:00,100310
1970-01-01 12:15:00,111379
1970-01-01 12:30:00,118856
1970-01-01 12:45:00,126201
1970-01-01 13:00:00,129731
1970-01-01 13:15:00,135656
1970-01-01 13:30:00,138785
1970-01-01 13:45:00,138962
1970-01-01 14:00:00,145656
1970-01-01 14:15:00,144162
1970-01-01 14:30:00,142020
1970-01-01 14:45:00,138466
1970-01-01 15:00:00,140471
1970-01-01 15:15:00,144190
1970-01-01 15:30:00,145296
1970-01-01 15:45:00,145673
1970-01-01 16:00:00,148756
1970-01-01 16:15:00,159274
1970-01-01 16:30:00,171761
1970-01-01 16:45:00,173212
1970-01-01 17:00:00,169764
1970-01-01 17:15:00,172907
1970-01-01 17:30:00,170212
1970-01-01 17:45:00,164510
1970-01-01 18:00:00,158059
1970-01-01 18:15:00,139932
1970-01-01 18:30:00,144873
1970-01-01 18:45:00,147920
1970-01-01 19:00:00,150298
1970-01-01 19:15:00,152967
1970-01-01 19:30:00,149004
1970-01-01 19:45:00,149234
1970-01-01 20:00:00,152669
1970-01-01 20:15:00,155824
1970-01-01 20:30:00,161216
1970-01-01 20:45:00,150908
1970-01-01 21:00:00,141494
1970-01-01 21:15:00,142542
1970-01-01 21:30:00,150240
1970-01-01 21:45:00,164617
1970-01-01 22:00:00,172158
1970-01-01 22:15:00,178536
1970-01-01 22:30:00,182077
1970-01-01 22:45:00,185513
1970-01-01 23:00:00,188693
1970-01-01 23:15:00,283267
1970-01-01 23:30:00,209114
1970-01-01 23:45:00,210082
