,reqs
1970-01-01 00:00:00,35566
1970-01-01 00:15:00,35498
1970-01-01 00:30:00,35426
1970-01-01 00:45:00,35553
1970-01-01 01:00:00,35496
1970-01-01 01:15:00,35557
1970-01-01 01:30:00,35487
1970-01-01 01:45:00,35539
1970-01-01 02:00:00,36790
1970-01-01 02:15:00,58352
1970-01-01 02:30:00,35554
1970-01-01 02:45:00,35531
1970-01-01 03:00:00,35542
1970-01-01 03:15:00,35542
1970-01-01 03:30:00,35555
1970-01-01 03:45:00,35562
1970-01-01 04:00:00,35463
1970-01-01 04:15:00,35509
1970-01-01 04:30:00,35567
1970-01-01 04:45:00,35452
1970-01-01 05:00:00,35635
1970-01-01 05:15:00,35559
1970-01-01 05:30:00,35441
1970-01-01 05:45:00,35590
1970-01-01 06:00:00,35599
1970-01-01 06:15:00,35664
1970-01-01 06:30:00,35546
1970-01-01 06:45:00,35415
1970-01-01 07:00:00,35469
1970-01-01 07:15:00,35604
1970-01-01 07:30:00,35461
1970-01-01 07:45:00,35504
1970-01-01 08:00:00,35489
1970-01-01 08:15:00,35553
1970-01-01 08:30:00,35603
1970-01-01 08:45:00,35435
1970-01-01 09:00:00,35603
1970-01-01 09:15:00,35618
1970-01-01 09:30:00,35577
1970-01-01 09:45:00,35561
1970-01-01 10:00:00,35439
1970-01-01 10:15:00,35653
1970-01-01 10:30:00,35606
1970-01-01 10:45:00,35615
1970-01-01 11:00:00,35494
1970-01-01 11:15:00,35729
1970-01-01 11:30:00,35467
1970-01-01 11:45:00,35768
1970-01-01 12:00:00,35451
1970-01-01 12:15:00,35608
1970-01-01 12:30:00,35562
1970-01-01 12:45:00,35518
1970-01-01 13:00:00,35629
1970-01-01 13:15:00,35556
1970-01-01 13:30:00,35584
1970-01-01 13:45:00,35521
1970-01-01 14:00:00,35567
1970-01-01 14:15:00,35616
1970-01-01 14:30:00,35484
1970-01-01 14:45:00,35580
1970-01-01 15:00:00,35597
1970-01-01 15:15:00,35657
1970-01-01 15:30:00,35651
1970-01-01 15:45:00,35542
1970-01-01 16:00:00,35615
1970-01-01 16:15:00,35673
1970-01-01 16:30:00,35546
1970-01-01 16:45:00,35561
1970-01-01 17:00:00,35394
1970-01-01 17:15:00,35530
1970-01-01 17:30:00,35630
1970-01-01 17:45:00,35592
1970-01-01 18:00:00,35419
1970-01-01 18:15:00,35622
1970-01-01 18:30:00,35535
1970-01-01 18:45:00,35534
1970-01-01 19:00:00,35566
1970-01-01 19:15:00,35523
1970-01-01 19:30:00,35482
1970-01-01 19:45:00,35464
1970-01-01 20:00:00,35545
1970-01-01 20:15:00,35539
1970-01-01 20:30:00,35405
1970-01-01 20:45:00,35442
1970-01-01 21:00:00,35555
1970-01-01 21:15:00,35491
1970-01-01 21:30:00,35618
1970-01-01 21:45:00,35381
1970-01-01 22:00:00,35419
1970-01-01 22:15:00,35520
1970-01-01 22:30:00,35586
1970-01-01 22:45:00,35601
1970-01-01 23:00:00,35611
1970-01-01 23:15:00,35628
1970-01-01 23:30:00,35629
1970-01-01 23:45:00,35620
