,reqs
1970-01-01 00:00:00,36520
1970-01-01 00:15:00,38420
1970-01-01 00:30:00,40254
1970-01-01 00:45:00,41971
1970-01-01 01:00:00,43556
1970-01-01 01:15:00,44990
1970-01-01 01:30:00,46259
1970-01-01 01:45:00,47481
1970-01-01 02:00:00,48371
1970-01-01 02:15:00,49272
1970-01-01 02:30:00,49498
1970-01-01 02:45:00,49852
1970-01-01 03:00:00,49747
1970-01-01 03:15:00,49617
1970-01-01 03:30:00,49059
1970-01-01 03:45:00,48415
1970-01-01 04:00:00,47460
1970-01-01 04:15:00,46484
1970-01-01 04:30:00,45135
1970-01-01 04:45:00,43571
1970-01-01 05:00:00,41842
1970-01-01 05:15:00,40235
1970-01-01 05:30:00,38269
1970-01-01 05:45:00,36502
1970-01-01 06:00:00,34679
1970-01-01 06:15:00,32523
1970-01-01 06:30:00,30885
1970-01-01 06:45:00,29121
1970-01-01 07:00:00,27608
1970-01-01 07:15:00,25918
1970-01-01 07:30:00,24904
1970-01-01 07:45:00,23626
1970-01-01 08:00:00,22666
1970-01-01 08:15:00,21838
1970-01-01 08:30:00,21532
1970-01-01 08:45:00,21169
1970-01-01 09:00:00,21189
1970-01-01 09:15:00,21405
1970-01-01 09:30:00,21975
1970-01-01 09:45:00,22572
1970-01-01 10:00:00,23488
1970-01-01 10:15:00,24924
1970-01-01 10:30:00,26063
1970-01-01 10:45:00,27698
1970-01-01 11:00:00,29318
1970-01-01 11:15:00,30896
1970-01-01 11:30:00,32693
1970-01-01 11:45:00,34539
1970-01-01 12:00:00,36510
1970-01-01 12:15:00,38395
1970-01-01 12:30:00,40309
1970-01-01 12:45:00,41984
1970-01-01 13:00:00,43572
1970-01-01 13:15:00,45075
1970-01-01 13:30:00,46394
1970-01-01 13:45:00,47581
1970-01-01 14:00:00,48398
1970-01-01 14:15:00,49243
1970-01-01 14:30:00,49728
1970-01-01 14:45:00,49783
1970-01-01 15:00:00,49801
1970-01-01 15:15:00,49803
1970-01-01 15:30:00,49301
1970-01-01 15:45:00,48391
1970-01-01 16:00:00,47553
1970-01-01 16:15:00,46394
1970-01-01 16:30:00,44996
1970-01-01 16:45:00,43645
1970-01-01 17:00:00,41971
1970-01-01 17:15:00,40188
1970-01-01 17:30:00,38311
1970-01-01 17:45:00,36462
1970-01-01 18:00:00,34628
1970-01-01 18:15:00,32693
1970-01-01 18:30:00,30959
1970-01-01 18:45:00,29070
1970-01-01 19:00:00,27434
1970-01-01 19:15:00,25909
1970-01-01 19:30:00,24815
1970-01-01 19:45:00,23571
1970-01-01 20:00:00,22630
1970-01-01 20:15:00,21873
1970-01-01 20:30:00,21377
1970-01-01 20:45:00,21260
1970-01-01 21:00:00,21261
1970-01-01 21:15:00,21515
1970-01-01 21:30:00,21957
1970-01-01 21:45:00,22707
1970-01-01 22:00:00,23389
1970-01-01 22:15:00,24742
1970-01-01 22:30:00,26157
1970-01-01 22:45:00,27448
1970-01-01 23:00:00,29166
1970-01-01 23:15:00,30815
1970-01-01 23:30:00,32794
1970-01-01 23:45:00,34588
