,reqs
1970-01-01 00:00:00,35505
1970-01-01 00:15:00,35528
1970-01-01 00:30:00,35697
1970-01-01 00:45:00,35365
1970-01-01 01:00:00,35458
1970-01-01 01:15:00,35691
1970-01-01 01:30:00,35499
1970-01-01 01:45:00,35528
1970-01-01 02:00:00,35661
1970-01-01 02:15:00,35600
1970-01-01 02:30:00,35439
1970-01-01 02:45:00,35608
1970-01-01 03:00:00,35596
1970-01-01 03:15:00,35368
1970-01-01 03:30:00,35556
1970-01-01 03:45:00,35614
1970-01-01 04:00:00,35606
1970-01-01 04:15:00,35506
1970-01-01 04:30:00,35516
1970-01-01 04:45:00,35602
1970-01-01 05:00:00,35554
1970-01-01 05:15:00,35481
1970-01-01 05:30:00,35591
1970-01-01 05:45:00,35711
1970-01-01 06:00:00,35514
1970-01-01 06:15:00,35499
1970-01-01 06:30:00,35595
1970-01-01 06:45:00,35665
1970-01-01 07:00:00,35679
1970-01-01 07:15:00,35611
1970-01-01 07:30:00,35481
1970-01-01 07:45:00,35569
1970-01-01 08:00:00,35565
1970-01-01 08:15:00,35441
1970-01-01 08:30:00,35545
1970-01-01 08:45:00,35706
1970-01-01 09:00:00,35482
1970-01-01 09:15:00,35549
1970-01-01 09:30:00,35451
1970-01-01 09:45:00,35658
1970-01-01 10:00:00,35550
1970-01-01 10:15:00,35610
1970-01-01 10:30:00,35465
1970-01-01 10:45:00,35556
1970-01-01 11:00:00,35588
1970-01-01 11:15:00,35490
1970-01-01 11:30:00,35536
1970-01-01 11:45:00,35569
1970-01-01 12:00:00,35455
1970-01-01 12:15:00,35489
1970-01-01 12:30:00,35550
1970-01-01 12:45:00,35601
1970-01-01 13:00:00,35539
1970-01-01 13:15:00,35552
1970-01-01 13:30:00,35466
1970-01-01 13:45:00,35590
1970-01-01 14:00:00,35660
1970-01-01 14:15:00,35471
1970-01-01 14:30:00,35640
1970-01-01 14:45:00,35561
1970-01-01 15:00:00,35529
1970-01-01 15:15:00,35593
1970-01-01 15:30:00,35680
1970-01-01 15:45:00,35530
1970-01-01 16:00:00,35636
1970-01-01 16:15:00,35562
1970-01-01 16:30:00,35497
1970-01-01 16:45:00,35567
1970-01-01 17:00:00,35401
1970-01-01 17:15:00,35670
1970-01-01 17:30:00,35623
1970-01-01 17:45:00,35412
1970-01-01 18:00:00,35669
1970-01-01 18:15:00,35658
1970-01-01 18:30:00,35570
1970-01-01 18:45:00,35476
1970-01-01 19:00:00,35476
1970-01-01 19:15:00,35439
1970-01-01 19:30:00,35555
1970-01-01 19:45:00,35538
1970-01-01 20:00:00,35553
1970-01-01 20:15:00,35474
1970-01-01 20:30:00,35480
1970-01-01 20:45:00,35481
1970-01-01 21:00:00,35330
1970-01-01 21:15:00,35636
1970-01-01 21:30:00,35647
1970-01-01 21:45:00,35459
1970-01-01 22:00:00,35610
1970-01-01 22:15:00,35616
1970-01-01 22:30:00,35665
1970-01-01 22:45:00,35522
1970-01-01 23:00:00,35640
1970-01-01 23:15:00,35508
1970-01-01 23:30:00,35590
1970-01-01 23:45:00,35588
