,reqs
1970-01-01 00:00:00,144000
1970-01-01 00:15:00,138600
1970-01-01 00:30:00,137700
1970-01-01 00:45:00,133200
1970-01-01 01:00:00,133200
1970-01-01 01:15:00,128700
1970-01-01 01:30:00,136800
1970-01-01 01:45:00,151200
1970-01-01 02:00:00,152100
1970-01-01 02:15:00,155700
1970-01-01 02:30:00,155700
1970-01-01 02:45:00,153900
1970-01-01 03:00:00,151200
1970-01-01 03:15:00,145800
1970-01-01 03:30:00,144900
1970-01-01 03:45:00,151200
1970-01-01 04:00:00,151200
1970-01-01 04:15:00,151200
1970-01-01 04:30:00,158400
1970-01-01 04:45:00,156600
1970-01-01 05:00:00,158400
1970-01-01 05:15:00,167400
1970-01-01 05:30:00,166500
1970-01-01 05:45:00,161100
1970-01-01 06:00:00,152100
1970-01-01 06:15:00,139500
1970-01-01 06:30:00,135000
1970-01-01 06:45:00,130500
1970-01-01 07:00:00,126900
1970-01-01 07:15:00,124200
1970-01-01 07:30:00,114300
1970-01-01 07:45:00,114300
1970-01-01 08:00:00,117000
1970-01-01 08:15:00,125100
1970-01-01 08:30:00,119700
1970-01-01 08:45:00,114300
1970-01-01 09:00:00,108000
1970-01-01 09:15:00,104400
1970-01-01 09:30:00,89100
1970-01-01 09:45:00,88200
1970-01-01 10:00:00,93600
1970-01-01 10:15:00,91800
1970-01-01 10:30:00,81900
1970-01-01 10:45:00,87300
1970-01-01 11:00:00,98100
1970-01-01 11:15:00,99000
1970-01-01 11:30:00,117000
1970-01-01 11:45:00,121500
1970-01-01 12:00:00,114300
1970-01-01 12:15:00,113400
1970-01-01 12:30:00,114300
1970-01-01 12:45:00,109800
1970-01-01 13:00:00,114300
1970-01-01 13:15:00,120600
1970-01-01 13:30:00,120600
1970-01-01 13:45:00,121500
1970-01-01 14:00:00,123300
1970-01-01 14:15:00,126900
1970-01-01 14:30:00,124200
1970-01-01 14:45:00,124200
1970-01-01 15:00:00,131400
1970-01-01 15:15:00,122400
1970-01-01 15:30:00,126000
1970-01-01 15:45:00,122400
1970-01-01 16:00:00,112500
1970-01-01 16:15:00,100800
1970-01-01 16:30:00,99900
1970-01-01 16:45:00,102600
1970-01-01 17:00:00,107100
1970-01-01 17:15:00,105300
1970-01-01 17:30:00,111600
1970-01-01 17:45:00,107100
1970-01-01 18:00:00,108000
1970-01-01 18:15:00,117000
1970-01-01 18:30:00,124200
1970-01-01 18:45:00,116100
1970-01-01 19:00:00,113400
1970-01-01 19:15:00,114300
1970-01-01 19:30:00,109800
1970-01-01 19:45:00,107100
1970-01-01 20:00:00,110700
1970-01-01 20:15:00,115200
1970-01-01 20:30:00,112500
1970-01-01 20:45:00,108900
1970-01-01 21:00:00,106200
1970-01-01 21:15:00,108000
1970-01-01 21:30:00,115200
1970-01-01 21:45:00,108000
1970-01-01 22:00:00,97200
1970-01-01 22:15:00,104400
1970-01-01 22:30:00,104400
1970-01-01 22:45:00,115200
1970-01-01 23:00:00,119700
1970-01-01 23:15:00,123300
1970-01-01 23:30:00,124200
1970-01-01 23:45:00,125100
